MR32 CSV
Name;RULA 0 Position
Frequency;100
Date;24-04-2018 15:09:41
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;0.3681;-1.68;0.1183;0.3245;0.1658;-1.406;-1.818;-1.318;2.436;3.226;2.203;4.555;6.959;-4.342;-6.934;1.382;-0.594;-40.25;-46.05;-2.654;-3.023;0.3075;3.54;56.37;65.17;-124;1.88;-1.68;-124.1;2.248;-0.004506;-83.88;-2.486;-0.3025;-83.89;0.74;-0.3023;-50.23;3.437;0.4665;-170.3;-2.828;3.783;-170.1;-0.6293;3.779;165.1;4.038;0.1548;-126.6;0.4854;1.293;-125.1;0.7818;1.147;-7.813;0;-12.7;7.324;-13.67;-7.324;1.953;6.836;8.789;-3.418;6.836;-1.953;5.859;19.04;3.418;4.394;5.859;-21.48;-11.72;-12.21;-29.79;-8.3;0;-24.41;3.418;14.16;-2.93;-4.395;0.9768;-7.324;-0.6988;-0.2948;-0.6349;-0.5793;-0.1871;-0.7573;0.589;-0.3879;0.6048;0.5388;-0.4857;0.4196;0.279;-0.5135;0.6877;-0.132;-0.6784;-0.2445;-0.1499;-0.7134;-0.04346;0.01318;-0.6527;-0.3476;-0.7582;-0.2512;-0.5744;-0.6424;-0.169;-0.7048
0.01;0;0.3634;-1.685;0.1039;0.3585;0.1722;-1.39;-1.854;-1.319;2.435;3.248;2.226;4.579;6.981;-4.366;-6.956;1.385;-0.5962;-40.21;-46.06;-2.623;-2.968;0.3252;3.501;56.37;65.06;-124;1.895;-1.684;-124.1;2.259;-0.003202;-83.91;-2.499;-0.3065;-83.93;0.7491;-0.3062;-50.27;3.416;0.486;-170.3;-2.832;3.795;-170.1;-0.6103;3.79;165;4.011;0.1938;-126.6;0.4601;1.297;-125.2;0.791;1.144;-4.395;0;4.395;6.836;-15.14;-2.929;4.395;7.813;-2.93;3.906;13.18;2.929;0.4882;3.907;0.9764;-5.371;2.441;-19.53;0.4884;0;-21.97;11.72;19.04;-2.441;0.9764;6.348;-3.906;-6.348;0;-2.442;-0.6988;-0.2949;-0.6348;-0.5794;-0.1871;-0.7573;0.5891;-0.3878;0.605;0.539;-0.4855;0.4197;0.2791;-0.5133;0.688;-0.1319;-0.6785;-0.2444;-0.1498;-0.7133;-0.04315;0.01416;-0.6527;-0.3471;-0.758;-0.2511;-0.5746;-0.6425;-0.1691;-0.7047
0.02;0;0.3518;-1.699;0.09539;0.404;0.1773;-1.387;-1.896;-1.321;2.435;3.259;2.256;4.585;6.997;-4.372;-6.973;1.386;-0.588;-40.18;-46.07;-2.595;-2.894;0.3227;3.468;56.39;64.93;-124;1.912;-1.7;-124.1;2.264;-0.004799;-83.94;-2.499;-0.306;-83.96;0.7595;-0.3058;-50.33;3.397;0.4892;-170.3;-2.847;3.797;-170.1;-0.5959;3.792;164.9;3.959;0.2204;-126.6;0.4238;1.299;-125.2;0.8004;1.141;-11.23;-2.93;-2.929;-2.442;-22.46;-4.394;0.9766;3.418;-6.836;-2.93;5.371;8.789;-7.324;8.301;2.93;-4.394;1.465;-8.3;-8.301;-4.395;-21.97;3.907;17.58;13.18;0;0;5.859;-2.93;1.465;-10.74;-0.699;-0.2949;-0.6347;-0.5794;-0.1871;-0.7572;0.5892;-0.3876;0.6051;0.5392;-0.4853;0.4198;0.2792;-0.5131;0.6883;-0.1318;-0.6785;-0.2445;-0.1498;-0.7132;-0.04291;0.01526;-0.6526;-0.3466;-0.7579;-0.2511;-0.5748;-0.6426;-0.1691;-0.7047
0.03;0;0.3367;-1.702;0.0867;0.4354;0.1927;-1.382;-1.94;-1.33;2.439;3.268;2.272;4.606;7.018;-4.392;-6.994;1.391;-0.5839;-40.13;-46.07;-2.568;-2.804;0.3332;3.46;56.41;64.83;-124;1.938;-1.702;-124.1;2.275;-0.003504;-83.98;-2.511;-0.3055;-84;0.7575;-0.3052;-50.39;3.368;0.4988;-170.3;-2.856;3.802;-170.1;-0.5889;3.798;164.8;3.886;0.2282;-126.6;0.3907;1.31;-125.2;0.7988;1.137;-2.442;-2.93;6.836;-1.953;-14.16;-0.9762;1.465;10.25;-1.465;-1.953;7.812;13.18;0;3.907;0;-3.906;11.72;-6.348;-6.836;-8.301;-8.301;-18.55;29.3;0.9765;-0.9764;10.74;-6.836;-0.9767;0.4881;-0.4882;-0.6991;-0.2949;-0.6345;-0.5795;-0.1871;-0.7572;0.5893;-0.3874;0.6053;0.5393;-0.4852;0.4199;0.2793;-0.5128;0.6887;-0.1317;-0.6785;-0.2445;-0.1495;-0.7132;-0.04254;0.01624;-0.6523;-0.3465;-0.7577;-0.2511;-0.575;-0.6425;-0.1691;-0.7047
0.04;0;0.3177;-1.709;0.08799;0.4831;0.1933;-1.393;-1.979;-1.319;2.438;3.27;2.29;4.605;7.026;-4.392;-7.003;1.392;-0.5791;-40.1;-46.06;-2.549;-2.711;0.3339;3.46;56.42;64.74;-124;1.959;-1.703;-124.1;2.276;0.001817;-84.02;-2.513;-0.2984;-84.04;0.7571;-0.2981;-50.43;3.344;0.5051;-170.3;-2.861;3.808;-170.1;-0.5763;3.803;164.7;3.812;0.2261;-126.6;0.3527;1.306;-125.2;0.8084;1.133;0.9765;-6.347;-9.766;-1.465;-16.11;-7.812;-2.93;10.25;0;0;6.836;16.6;4.883;14.16;9.277;1.953;10.25;0;1.465;4.395;4.883;-19.53;7.324;-9.277;0.4882;9.766;-7.324;-1.953;1.465;-9.766;-0.6992;-0.295;-0.6344;-0.5795;-0.1871;-0.7572;0.5894;-0.3872;0.6054;0.5394;-0.4851;0.42;0.2793;-0.5127;0.689;-0.1317;-0.6785;-0.2445;-0.1493;-0.7132;-0.04212;0.01709;-0.652;-0.3463;-0.7575;-0.251;-0.5753;-0.6426;-0.169;-0.7046
0.05;0;0.3162;-1.703;0.08232;0.525;0.2079;-1.381;-2.029;-1.329;2.433;3.276;2.3;4.624;7.056;-4.407;-7.031;1.406;-0.5917;-40.06;-46.07;-2.547;-2.611;0.3288;3.46;56.43;64.67;-124;1.975;-1.703;-124.1;2.291;-0.002575;-84.06;-2.52;-0.289;-84.07;0.7563;-0.2888;-50.47;3.337;0.5073;-170.3;-2.865;3.823;-170.1;-0.5692;3.819;164.6;3.729;0.2357;-126.6;0.3181;1.314;-125.2;0.8162;1.126;0.4888;-1.953;-5.859;6.836;-10.74;1.953;0.9766;15.14;4.394;2.93;6.836;12.7;11.23;28.32;-0.4885;3.418;8.301;-16.6;4.395;11.72;-8.789;-4.395;7.813;11.23;3.906;7.813;4.395;-0.4882;-2.441;-9.766;-0.6993;-0.2951;-0.6343;-0.5796;-0.1871;-0.7571;0.5895;-0.3869;0.6056;0.5395;-0.485;0.4201;0.2794;-0.5125;0.6892;-0.1316;-0.6786;-0.2445;-0.1491;-0.7132;-0.04175;0.01794;-0.6516;-0.3464;-0.7573;-0.2509;-0.5755;-0.6427;-0.169;-0.7046
0.06;0;0.3078;-1.711;0.07846;0.565;0.2154;-1.386;-2.076;-1.327;2.438;3.262;2.322;4.634;7.085;-4.42;-7.061;1.399;-0.5898;-40.02;-46.06;-2.554;-2.494;0.3338;3.452;56.4;64.59;-124;1.995;-1.704;-124.1;2.303;0.004041;-84.09;-2.52;-0.2885;-84.11;0.7416;-0.2882;-50.48;3.331;0.505;-170.3;-2.873;3.839;-170.1;-0.5562;3.834;164.5;3.636;0.2506;-126.6;0.2832;1.319;-125.2;0.8212;1.124;6.348;3.906;-12.21;6.347;-12.7;-4.394;6.348;19.53;13.67;0;10.25;8.789;10.25;23.93;3.906;-2.93;-1.465;-13.18;3.906;19.04;-7.813;-11.72;10.25;0;0;7.324;-3.418;3.418;7.813;-2.93;-0.6994;-0.2951;-0.6341;-0.5797;-0.1872;-0.7571;0.5896;-0.3867;0.6058;0.5396;-0.485;0.4203;0.2794;-0.5125;0.6892;-0.1315;-0.6787;-0.2446;-0.149;-0.7132;-0.0415;0.01886;-0.6513;-0.3465;-0.7571;-0.2509;-0.5758;-0.6427;-0.169;-0.7045
0.07;0;0.2904;-1.705;0.07846;0.6084;0.2104;-1.384;-2.108;-1.322;2.432;3.262;2.337;4.63;7.092;-4.413;-7.068;1.407;-0.5904;-40;-46.06;-2.551;-2.402;0.3265;3.445;56.37;64.56;-124;2.013;-1.698;-124.1;2.303;0.004041;-84.11;-2.52;-0.2772;-84.13;0.7413;-0.2769;-50.47;3.322;0.5073;-170.3;-2.878;3.845;-170.1;-0.5455;3.84;164.5;3.558;0.2582;-126.6;0.2508;1.316;-125.2;0.8322;1.126;0.4888;-1.465;5.859;-3.418;-15.62;3.906;-0.4883;4.394;11.72;-3.906;13.67;6.347;5.371;20.02;-0.9764;-2.442;2.93;-10.25;-1.953;9.278;7.813;-8.3;16.6;-3.418;-1.465;7.324;-2.441;4.883;4.883;-7.324;-0.6994;-0.2952;-0.634;-0.5797;-0.1872;-0.7571;0.5896;-0.3866;0.6059;0.5397;-0.4848;0.4204;0.2793;-0.5125;0.6892;-0.1315;-0.6787;-0.2446;-0.1491;-0.7131;-0.04145;0.01947;-0.651;-0.3468;-0.757;-0.2508;-0.576;-0.6428;-0.169;-0.7045
0.08;0;0.2827;-1.696;0.07659;0.6527;0.2196;-1.387;-2.145;-1.322;2.442;3.278;2.356;4.637;7.103;-4.419;-7.079;1.411;-0.5904;-39.98;-46.06;-2.537;-2.332;0.3127;3.423;56.33;64.55;-124;2.022;-1.684;-124.1;2.304;0.00814;-84.13;-2.529;-0.2727;-84.15;0.7483;-0.2724;-50.45;3.311;0.5017;-170.3;-2.881;3.855;-170.1;-0.5303;3.85;164.5;3.506;0.2818;-126.6;0.216;1.321;-125.2;0.8416;1.123;1.465;-0.4883;-4.395;-0.9762;-5.371;4.883;2.441;12.21;17.09;-2.93;21;18.07;6.836;20.51;0.4885;3.906;10.74;-1.465;7.324;7.812;0;4.883;5.859;-3.906;1.953;10.25;0;1.953;2.93;-5.371;-0.6995;-0.2953;-0.634;-0.5797;-0.1872;-0.7571;0.5896;-0.3864;0.606;0.5398;-0.4848;0.4204;0.2791;-0.5126;0.6892;-0.1315;-0.6788;-0.2446;-0.1492;-0.7131;-0.04145;0.01984;-0.6508;-0.3471;-0.7568;-0.2508;-0.5762;-0.6428;-0.169;-0.7044
0.09;0;0.2725;-1.691;0.06358;0.694;0.2242;-1.382;-2.185;-1.316;2.449;3.283;2.376;4.646;7.108;-4.43;-7.084;1.407;-0.5951;-39.95;-46.07;-2.525;-2.26;0.3144;3.384;56.29;64.54;-124;2.038;-1.679;-124.1;2.31;0.009411;-84.15;-2.532;-0.2768;-84.16;0.7513;-0.2766;-50.43;3.303;0.5021;-170.2;-2.876;3.858;-170.1;-0.5056;3.853;164.5;3.459;0.3138;-126.5;0.1823;1.318;-125.2;0.8496;1.115;7.813;3.906;-8.301;1.953;-10.25;4.883;-1.953;9.277;7.324;1.953;17.58;10.74;0.4882;11.72;7.812;6.348;8.301;-2.929;7.813;8.301;6.347;11.72;-10.25;-15.14;3.418;11.23;-0.9764;4.395;2.93;-9.277;-0.6996;-0.2953;-0.6339;-0.5797;-0.1871;-0.7571;0.5897;-0.3864;0.6061;0.5399;-0.4848;0.4204;0.279;-0.5127;0.6892;-0.1316;-0.6788;-0.2447;-0.1496;-0.7131;-0.0415;0.0202;-0.6508;-0.3474;-0.7566;-0.2507;-0.5765;-0.6429;-0.169;-0.7044
