MR32 CSV
Name;RULA Ellbogen Flex 110°
Frequency;100
Date;24-04-2018 15:19:49
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;-0.1952;0.3026;-5.384;-3.426;-0.2785;-0.276;-0.8105;-1.585;-4.035;110.8;104.2;9.25;11.42;2.851;6.623;8.814;9.38;-3.494;-10.97;21.45;13.51;31.96;33.77;14.9;14;-48.2;2.572;-0.784;-42.81;2.468;-0.8586;-39.17;4.795;8.267;123.5;63.13;161.5;44.21;23.06;144.4;-54.32;6.891;-11.78;154.6;65.85;-150.3;-140;12.34;-143.6;-38.78;1.603;0.8415;-38.56;-1.828;1.111;-5.371;3.906;-7.812;4.395;2.93;-6.348;3.906;2.93;-6.836;-1.953;-8.79;-14.65;8.3;13.67;0.4883;-8.301;-4.394;5.371;0.9763;-7.324;2.442;1.954;-3.418;8.301;-0.4882;1.953;1.953;3.418;-0.4883;5.859;0.7378;-0.1925;0.5847;0.5603;-0.2416;0.7293;0.3775;-0.5581;0.3274;0.5299;-0.02454;-0.5449;0.7027;0.1867;-0.04096;-0.5904;-0.1644;-0.7382;-0.4647;0.3451;-0.068;-0.3666;0.5427;-0.3825;0.7248;-0.3493;0.5326;0.5681;-0.3098;0.6975
0.01;0;-0.1726;0.2967;-5.391;-3.407;-0.2883;-0.2886;-0.8542;-1.584;-4.018;110.8;104.2;9.224;11.41;2.803;6.607;8.801;9.379;-3.511;-10.98;21.41;13.54;31.94;33.79;14.99;13.97;-48.2;2.571;-0.7944;-42.8;2.491;-0.8607;-39.14;4.769;8.252;123.6;63.16;161.5;44.28;23.11;144.3;-54.32;6.895;-11.78;154.6;65.85;-150.3;-139.9;12.33;-143.7;-38.78;1.582;0.8363;-38.55;-1.83;1.115;-12.7;-5.859;2.441;12.21;-2.441;0.4883;0.9768;0;-14.16;-11.72;-3.418;-11.23;26.37;18.07;0;2.442;-4.394;-10.25;7.324;-1.953;4.394;-6.837;0;1.953;7.324;2.93;-0.9763;-4.883;-3.418;1.465;0.7378;-0.1926;0.5848;0.5604;-0.2417;0.7292;0.3774;-0.5582;0.3275;0.5302;-0.02496;-0.5449;0.7029;0.1857;-0.04108;-0.5904;-0.1644;-0.7382;-0.4647;0.345;-0.06806;-0.3664;0.5429;-0.3825;0.7247;-0.3492;0.5328;0.5681;-0.3098;0.6975
0.02;0;-0.1571;0.2986;-5.396;-3.383;-0.2809;-0.2839;-0.8887;-1.594;-4.018;110.8;104.2;9.202;11.4;2.765;6.596;8.79;9.375;-3.534;-10.98;21.39;13.56;31.93;33.8;15.05;13.95;-48.2;2.573;-0.7988;-42.79;2.508;-0.8651;-39.11;4.747;8.237;123.6;63.19;161.5;44.33;23.16;144.3;-54.31;6.901;-11.78;154.6;65.85;-150.3;-139.9;12.34;-143.7;-38.77;1.564;0.8405;-38.55;-1.823;1.112;-6.348;-1.953;-5.371;1.465;-7.813;-7.812;5.371;5.859;1.465;-11.23;13.18;-6.836;30.76;21.48;1.465;6.348;-2.929;3.906;1.465;1.953;17.09;-11.23;5.372;7.812;0;-5.859;4.883;0.4882;-0.4883;4.883;0.7378;-0.1926;0.5848;0.5605;-0.2418;0.7291;0.3773;-0.5584;0.3275;0.5305;-0.02545;-0.5449;0.7031;0.1849;-0.04108;-0.5904;-0.1643;-0.7382;-0.4646;0.345;-0.06812;-0.3663;0.5431;-0.3827;0.7246;-0.3492;0.5329;0.5682;-0.3098;0.6974
0.03;0;-0.162;0.2866;-5.403;-3.376;-0.2781;-0.2893;-0.9024;-1.59;-4.008;110.8;104.2;9.174;11.39;2.741;6.584;8.768;9.371;-3.55;-10.99;21.39;13.59;31.93;33.81;15.08;13.92;-48.19;2.582;-0.8109;-42.78;2.513;-0.8645;-39.09;4.727;8.216;123.7;63.22;161.6;44.35;23.2;144.3;-54.31;6.893;-11.78;154.6;65.85;-150.3;-139.9;12.34;-143.7;-38.77;1.555;0.8363;-38.54;-1.826;1.105;-7.325;-4.395;1.465;0;-7.813;0;2.93;-2.93;-11.23;-7.812;32.72;1.953;55.66;27.83;-6.836;-2.442;-0.9762;0;0;7.813;7.324;-8.789;18.07;9.277;1.465;2.93;8.301;-8.301;-5.371;5.859;0.7378;-0.1928;0.5847;0.5605;-0.2419;0.729;0.377;-0.5586;0.3275;0.5308;-0.02588;-0.5449;0.7032;0.1845;-0.04096;-0.5904;-0.1643;-0.7382;-0.4645;0.3451;-0.06818;-0.3661;0.5432;-0.3828;0.7245;-0.3492;0.5329;0.5681;-0.3099;0.6974
0.04;0;-0.1634;0.2836;-5.394;-3.353;-0.2766;-0.2885;-0.9225;-1.588;-4.011;110.8;104.2;9.161;11.39;2.713;6.573;8.763;9.381;-3.566;-10.99;21.43;13.6;31.95;33.82;15.06;13.91;-48.18;2.593;-0.8104;-42.78;2.522;-0.8605;-39.07;4.706;8.215;123.7;63.23;161.6;44.34;23.22;144.2;-54.3;6.89;-11.78;154.6;65.84;-150.3;-139.9;12.34;-143.7;-38.77;1.544;0.8372;-38.54;-1.814;1.105;-8.789;-5.859;0.4883;-8.789;-7.324;7.324;6.348;2.93;3.418;-6.347;34.18;7.324;29.3;22.95;-4.883;-13.18;-9.766;-2.93;0.4882;10.74;4.394;-15.14;12.69;13.18;4.394;2.93;1.465;-2.441;-0.4883;2.442;0.7378;-0.1928;0.5846;0.5606;-0.2419;0.7289;0.3768;-0.5587;0.3275;0.5309;-0.02612;-0.5449;0.7033;0.1844;-0.04071;-0.5904;-0.1643;-0.7383;-0.4644;0.345;-0.06818;-0.366;0.5434;-0.3828;0.7245;-0.3492;0.533;0.5682;-0.31;0.6974
0.05;0;-0.1799;0.28;-5.391;-3.333;-0.2788;-0.2844;-0.9497;-1.589;-4.022;110.8;104.3;9.14;11.39;2.687;6.565;8.749;9.389;-3.591;-10.97;21.51;13.59;31.98;33.83;14.99;13.93;-48.18;2.615;-0.812;-42.78;2.527;-0.8582;-39.05;4.682;8.204;123.7;63.25;161.6;44.28;23.24;144.3;-54.29;6.889;-11.79;154.6;65.84;-150.3;-139.9;12.35;-143.7;-38.76;1.522;0.839;-38.53;-1.816;1.109;4.394;-5.371;-3.906;4.395;6.836;-2.441;-0.9768;-6.347;-10.25;4.883;22.46;15.62;-4.395;12.21;-1.953;-2.442;-4.882;1.953;1.953;10.25;12.7;-8.301;7.812;-1.953;2.93;2.93;-0.4882;-0.4882;-0.9766;3.906;0.738;-0.1929;0.5845;0.5606;-0.2419;0.7289;0.3765;-0.5589;0.3275;0.5308;-0.02631;-0.545;0.7033;0.1847;-0.04035;-0.5904;-0.1642;-0.7383;-0.4644;0.3451;-0.06824;-0.3661;0.5435;-0.3827;0.7243;-0.3492;0.5331;0.5681;-0.31;0.6974
0.06;0;-0.1858;0.2772;-5.382;-3.301;-0.2815;-0.2829;-0.9856;-1.584;-4.033;110.8;104.3;9.112;11.39;2.655;6.552;8.729;9.395;-3.609;-10.95;21.58;13.58;32;33.83;14.91;13.96;-48.18;2.637;-0.8136;-42.79;2.542;-0.8559;-39.04;4.664;8.187;123.7;63.27;161.6;44.23;23.24;144.3;-54.27;6.896;-11.79;154.6;65.82;-150.3;-139.9;12.36;-143.7;-38.76;1.502;0.8357;-38.53;-1.805;1.108;-3.418;-6.836;0.4883;1.465;8.789;3.418;-6.836;0;-11.23;7.324;0.9769;10.74;-24.41;1.465;13.67;-5.371;-3.906;8.789;-0.4882;11.72;5.86;4.395;7.324;-14.16;1.953;-0.9767;5.371;0.4882;-1.465;-0.4884;0.7381;-0.1929;0.5844;0.5608;-0.2419;0.7289;0.3764;-0.5591;0.3275;0.5306;-0.02631;-0.545;0.7032;0.1851;-0.03998;-0.5904;-0.1641;-0.7383;-0.4642;0.3453;-0.06824;-0.3662;0.5436;-0.3827;0.7242;-0.3492;0.5332;0.5682;-0.31;0.6973
0.07;0;-0.1903;0.2804;-5.382;-3.263;-0.2808;-0.2791;-1.023;-1.587;-4.036;110.8;104.3;9.088;11.38;2.633;6.553;8.711;9.39;-3.615;-10.96;21.61;13.59;32.04;33.84;14.85;13.96;-48.17;2.647;-0.8143;-42.78;2.549;-0.8592;-39.03;4.65;8.165;123.8;63.29;161.6;44.2;23.24;144.3;-54.27;6.902;-11.79;154.6;65.82;-150.3;-139.9;12.38;-143.7;-38.75;1.47;0.8334;-38.52;-1.798;1.105;-1.953;-3.906;-1.953;0.4882;2.93;8.789;-3.906;-6.836;-3.906;0;-11.72;9.766;-19.04;2.93;3.418;0.9764;-2.929;1.953;-0.9763;0;5.86;5.86;2.93;-8.79;6.348;4.394;-5.371;-9.277;-11.23;-5.371;0.7381;-0.193;0.5843;0.5608;-0.242;0.7288;0.3762;-0.5593;0.3275;0.5304;-0.02631;-0.5449;0.7032;0.1854;-0.03986;-0.5905;-0.164;-0.7383;-0.4642;0.3453;-0.06824;-0.3662;0.5437;-0.3826;0.724;-0.3492;0.5334;0.5682;-0.3101;0.6972
0.08;0;-0.1998;0.2881;-5.4;-3.229;-0.289;-0.2763;-1.067;-1.579;-4.028;110.8;104.3;9.052;11.39;2.604;6.552;8.681;9.403;-3.603;-10.97;21.61;13.59;32.06;33.86;14.81;14;-48.18;2.669;-0.8;-42.77;2.56;-0.8507;-39.03;4.636;8.142;123.8;63.31;161.7;44.19;23.23;144.3;-54.27;6.908;-11.8;154.7;65.82;-150.3;-139.9;12.4;-143.7;-38.74;1.439;0.831;-38.52;-1.796;1.111;-3.418;-1.953;-2.93;4.395;1.953;0;0;-3.418;-10.74;-9.277;-31.25;8.301;-21.97;3.418;-4.394;6.836;-0.4881;-4.395;-2.93;0.9766;-2.929;1.464;-3.418;-10.25;4.883;-1.465;-1.465;4.883;-3.418;0;0.7383;-0.1929;0.5841;0.5608;-0.242;0.7287;0.3762;-0.5595;0.3275;0.5302;-0.02631;-0.5449;0.7032;0.1856;-0.03986;-0.5905;-0.1639;-0.7384;-0.4641;0.3453;-0.0683;-0.3664;0.5438;-0.3825;0.7239;-0.3492;0.5336;0.5682;-0.3101;0.6972
0.09;0;-0.2167;0.3036;-5.411;-3.198;-0.2811;-0.278;-1.102;-1.589;-4.015;110.8;104.3;9.03;11.4;2.579;6.555;8.665;9.407;-3.581;-10.99;21.59;13.6;32.07;33.88;14.8;14.02;-48.17;2.692;-0.7901;-42.75;2.567;-0.8552;-39.04;4.623;8.118;123.9;63.33;161.7;44.19;23.23;144.3;-54.28;6.912;-11.81;154.7;65.81;-150.3;-139.9;12.42;-143.8;-38.74;1.409;0.8341;-38.51;-1.793;1.107;-8.301;-7.813;-9.765;7.813;-8.301;-7.324;-1.953;-0.4883;-4.883;-12.69;-20.51;-5.86;-19.53;-2.442;-8.789;9.277;-2.929;-4.395;-5.859;-8.301;4.883;1.464;-12.69;-10.25;2.441;-12.7;-4.883;4.394;-4.883;0;0.7384;-0.1929;0.584;0.5608;-0.2421;0.7286;0.3761;-0.5597;0.3276;0.5303;-0.02631;-0.5448;0.7032;0.1856;-0.03986;-0.5904;-0.1638;-0.7384;-0.4641;0.3452;-0.06824;-0.3665;0.5439;-0.3825;0.7237;-0.3491;0.5338;0.5682;-0.3101;0.6972
