MR32 CSV
Name;RULA Handgelenk Ext
Frequency;100
Date;24-04-2018 15:21:17
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;-6.69;2.037;-7.175;1.752;0.2208;0.6022;-6.856;-2.117;-5.544;3.645;-0.9446;3.937;4.634;-3.824;-2.818;0.9409;-3.684;-26.51;-34.19;69.79;63.87;33.12;29.33;-31.25;-28.67;-45.89;12.08;-0.1232;-38.55;5.612;-1.442;-11.96;1.823;0.3536;-11.94;5.468;0.355;47.15;-49.57;69.99;-72.8;3.572;0.2787;-72.81;2.628;0.2785;-143.5;-50.44;-55.75;-32.96;-1.304;0.5466;-33.55;0.4508;0.321;-1.953;9.277;-7.324;0;2.93;-7.812;1.953;-33.69;-2.93;0.9762;15.14;-9.766;-22.46;12.21;25.88;4.882;3.906;3.418;10.74;5.859;7.813;-0.9759;-5.86;8.301;-1.953;0.4883;-5.86;-0.4882;2.442;-1.465;0.7836;-0.2188;0.5196;0.5683;-0.2756;0.7032;0.2584;-0.6667;0.2282;0.03644;-0.672;-0.1284;-0.08075;0.1251;-0.03113;-0.613;-0.3057;-0.6603;-0.5608;-0.3656;-0.5288;0.09778;-0.1165;-0.7073;0.6919;-0.3798;0.5374;0.5644;-0.3463;0.6735
0.01;0;-6.688;2.029;-7.178;1.741;0.2226;0.6024;-6.856;-2.109;-5.527;3.695;-0.9249;3.959;4.624;-3.856;-2.827;0.9031;-3.665;-26.45;-34.19;69.84;63.84;33.09;29.32;-31.38;-28.66;-45.86;12.09;-0.1245;-38.52;5.624;-1.433;-11.99;1.818;0.3168;-11.97;5.513;0.3181;47.16;-49.57;70.06;-72.78;3.569;0.2677;-72.78;2.644;0.2675;-143.5;-50.44;-55.73;-32.95;-1.292;0.548;-33.54;0.4515;0.3207;-6.348;4.395;-2.441;4.883;11.72;-11.23;10.74;-26.37;-9.765;6.348;17.58;0;-16.6;25.88;46.88;0;0;13.67;13.18;8.301;-0.9764;-7.324;-5.37;14.16;0;-2.93;1.953;1.953;4.394;0;0.7836;-0.219;0.5194;0.5684;-0.2757;0.703;0.2582;-0.667;0.2281;0.03632;-0.6718;-0.129;-0.08039;0.1254;-0.03162;-0.613;-0.3056;-0.6604;-0.5609;-0.3654;-0.5289;0.09772;-0.1166;-0.7074;0.6919;-0.3799;0.5373;0.5644;-0.3464;0.6735
0.02;0;-6.685;2.026;-7.181;1.725;0.2147;0.6058;-6.848;-2.104;-5.502;3.752;-0.9053;3.974;4.612;-3.878;-2.821;0.8704;-3.655;-26.38;-34.2;69.9;63.8;33.08;29.32;-31.49;-28.62;-45.84;12.09;-0.1246;-38.5;5.626;-1.429;-12.03;1.814;0.2798;-12.01;5.565;0.281;47.13;-49.54;70.17;-72.77;3.572;0.2568;-72.77;2.667;0.2566;-143.5;-50.42;-55.73;-32.95;-1.282;0.5489;-33.54;0.4469;0.3294;-12.21;1.465;-1.465;-2.442;3.418;-1.953;2.442;-27.83;-1.953;15.14;22.46;0;-21.48;31.25;31.74;7.324;15.62;10.25;4.883;6.836;-0.4882;3.417;0.9769;36.13;-4.395;-5.371;1.465;0.4882;6.836;9.277;0.7836;-0.2192;0.5194;0.5683;-0.2758;0.7029;0.2581;-0.6672;0.2281;0.0362;-0.6717;-0.1296;-0.07978;0.1257;-0.03192;-0.613;-0.3054;-0.6604;-0.561;-0.3651;-0.5289;0.09754;-0.1167;-0.7076;0.6919;-0.3799;0.5372;0.5644;-0.3463;0.6735
0.03;0;-6.697;2.025;-7.186;1.721;0.2194;0.6031;-6.844;-2.099;-5.478;3.845;-0.8835;3.999;4.603;-3.909;-2.816;0.848;-3.647;-26.31;-34.22;69.93;63.79;33.07;29.32;-31.6;-28.6;-45.81;12.1;-0.1179;-38.46;5.626;-1.422;-12.07;1.793;0.2505;-12.05;5.638;0.2516;47.09;-49.51;70.28;-72.75;3.576;0.2528;-72.75;2.693;0.2526;-143.4;-50.4;-55.76;-32.94;-1.277;0.5526;-33.53;0.4473;0.3284;0;7.325;-6.836;3.418;3.418;-1.465;4.883;-21.48;8.789;18.07;24.9;-10.25;-17.58;25.39;24.41;3.418;8.789;5.86;6.836;3.418;4.883;3.907;-6.837;24.41;7.324;0;2.441;0.9764;-1.953;0.9764;0.7836;-0.2194;0.5192;0.5683;-0.276;0.7028;0.2579;-0.6674;0.2282;0.03613;-0.6715;-0.1304;-0.07911;0.126;-0.03223;-0.6131;-0.3053;-0.6605;-0.5611;-0.3648;-0.529;0.09736;-0.1166;-0.7078;0.6919;-0.38;0.5371;0.5644;-0.3464;0.6735
0.04;0;-6.7;2.013;-7.185;1.713;0.226;0.6071;-6.838;-2.1;-5.466;3.946;-0.8485;4.024;4.592;-3.94;-2.822;0.8226;-3.629;-26.21;-34.23;69.98;63.77;33.05;29.34;-31.76;-28.58;-45.78;12.11;-0.1259;-38.43;5.629;-1.417;-12.14;1.778;0.2163;-12.13;5.724;0.2173;47.03;-49.49;70.42;-72.73;3.566;0.2421;-72.73;2.717;0.2419;-143.4;-50.38;-55.81;-32.92;-1.268;0.5589;-33.52;0.448;0.3281;-12.7;-4.883;-3.418;2.93;-0.4882;-6.348;8.301;-31.25;9.765;-4.394;5.371;6.347;0.4888;1.464;8.3;1.953;2.442;3.418;6.836;-5.372;-1.953;16.6;14.16;21;2.93;-1.465;5.86;1.465;1.953;0.9764;0.7835;-0.2196;0.5191;0.5683;-0.2761;0.7027;0.2578;-0.6676;0.2283;0.03613;-0.6712;-0.1312;-0.07831;0.1264;-0.03259;-0.613;-0.3052;-0.6606;-0.5611;-0.3646;-0.5289;0.09711;-0.1164;-0.7079;0.6919;-0.38;0.537;0.5644;-0.3465;0.6734
0.05;0;-6.718;2.013;-7.19;1.714;0.2278;0.5927;-6.834;-2.106;-5.441;4.062;-0.8167;4.05;4.589;-3.969;-2.821;0.8098;-3.625;-26.13;-34.23;70.03;63.78;33.04;29.35;-31.9;-28.6;-45.76;12.12;-0.1271;-38.41;5.623;-1.418;-12.2;1.752;0.186;-12.18;5.814;0.1869;46.98;-49.45;70.57;-72.7;3.56;0.2418;-72.7;2.743;0.2416;-143.3;-50.37;-55.87;-32.92;-1.271;0.5638;-33.5;0.4464;0.3313;3.906;0.4882;-13.18;3.418;-7.813;-1.465;10.25;-16.11;4.395;1.465;13.18;9.277;15.14;4.883;-5.372;0;-6.348;-3.418;4.394;-8.301;-7.325;17.09;-3.418;-7.324;9.277;0;1.465;5.859;4.883;1.465;0.7835;-0.2198;0.519;0.5681;-0.2762;0.7027;0.2576;-0.6677;0.2285;0.03613;-0.6709;-0.1321;-0.07746;0.1268;-0.03296;-0.6131;-0.3051;-0.6607;-0.5612;-0.3644;-0.529;0.09693;-0.1161;-0.7081;0.6919;-0.38;0.537;0.5643;-0.3465;0.6734
0.06;0;-6.726;2.006;-7.187;1.721;0.2326;0.5989;-6.833;-2.11;-5.44;4.165;-0.7877;4.079;4.584;-3.999;-2.822;0.8031;-3.618;-26.06;-34.21;70.07;63.81;33.04;29.35;-32.04;-28.63;-45.74;12.12;-0.1311;-38.39;5.62;-1.416;-12.24;1.725;0.1659;-12.23;5.89;0.1667;46.94;-49.43;70.71;-72.66;3.554;0.2411;-72.67;2.766;0.2409;-143.2;-50.38;-55.94;-32.9;-1.273;0.5703;-33.49;0.4513;0.3329;-1.465;-7.325;-2.93;8.789;-0.4882;-0.4882;2.442;15.14;-7.324;-1.465;8.789;8.789;-0.4888;-6.347;-21.97;15.62;-11.72;-25.39;0.9769;11.23;3.418;11.72;1.465;-11.72;1.953;-5.86;1.953;0;-3.418;13.18;0.7835;-0.22;0.5189;0.5681;-0.2763;0.7026;0.2575;-0.6678;0.2288;0.03601;-0.6707;-0.1329;-0.07666;0.1273;-0.03339;-0.6131;-0.3049;-0.6609;-0.5612;-0.3643;-0.5289;0.09693;-0.1157;-0.7083;0.6919;-0.3801;0.537;0.5643;-0.3466;0.6733
0.07;0;-6.737;1.999;-7.16;1.722;0.2345;0.5845;-6.828;-2.113;-5.438;4.239;-0.771;4.083;4.575;-4.005;-2.816;0.7956;-3.611;-26;-34.21;70.09;63.83;33.04;29.37;-32.18;-28.65;-45.7;12.13;-0.1324;-38.38;5.614;-1.414;-12.29;1.716;0.1534;-12.28;5.955;0.1541;46.93;-49.39;70.83;-72.65;3.55;0.2375;-72.66;2.779;0.2373;-143.2;-50.38;-55.99;-32.9;-1.276;0.5752;-33.47;0.4498;0.3361;5.859;-8.301;-17.09;4.395;-6.348;1.953;6.836;42.48;-7.813;-3.418;6.348;-1.465;8.3;-14.16;-40.53;0;-19.53;0;1.953;11.23;-1.465;21.48;-0.9769;-13.67;6.347;0;-0.4883;-1.953;0.9766;5.859;0.7835;-0.2202;0.5188;0.568;-0.2763;0.7026;0.2575;-0.6678;0.229;0.03583;-0.6705;-0.1337;-0.07593;0.1276;-0.03394;-0.6131;-0.3048;-0.6609;-0.5612;-0.3642;-0.5289;0.09687;-0.1154;-0.7084;0.6919;-0.3801;0.537;0.5643;-0.3466;0.6733
0.08;0;-6.738;2.008;-7.143;1.731;0.2428;0.5782;-6.827;-2.126;-5.441;4.29;-0.7515;4.087;4.577;-4.007;-2.821;0.8048;-3.611;-25.97;-34.22;70.08;63.84;33.04;29.37;-32.29;-28.64;-45.68;12.13;-0.1286;-38.38;5.611;-1.421;-12.33;1.711;0.1519;-12.32;6.001;0.1527;46.97;-49.38;70.88;-72.66;3.54;0.2345;-72.66;2.788;0.2343;-143.2;-50.38;-56.02;-32.89;-1.277;0.5806;-33.46;0.4573;0.3332;7.813;-10.25;-1.465;2.93;3.906;0;0.4882;57.62;-19.04;-15.63;-3.907;-6.347;4.883;-22.46;-45.9;-0.4883;-16.6;-4.883;-2.441;0;-2.442;17.09;-0.9769;-26.37;0;-1.953;3.906;0;2.93;4.395;0.7834;-0.2204;0.5188;0.568;-0.2763;0.7026;0.2576;-0.6678;0.2291;0.03565;-0.6704;-0.1343;-0.07556;0.1278;-0.03461;-0.6131;-0.3049;-0.661;-0.5612;-0.364;-0.529;0.09687;-0.1153;-0.7084;0.6918;-0.3801;0.5369;0.5642;-0.3468;0.6732
0.09;0;-6.754;2.001;-7.128;1.74;0.2588;0.5673;-6.82;-2.137;-5.452;4.29;-0.7347;4.052;4.568;-3.972;-2.815;0.8035;-3.603;-25.98;-34.23;70.06;63.84;33.05;29.35;-32.34;-28.63;-45.66;12.13;-0.1286;-38.37;5.598;-1.417;-12.31;1.73;0.1648;-12.3;6.019;0.1657;47.03;-49.37;70.9;-72.67;3.532;0.2351;-72.68;2.797;0.235;-143.2;-50.39;-56.02;-32.88;-1.285;0.5952;-33.43;0.4584;0.3319;17.09;-0.9763;-15.14;-2.93;3.906;4.883;-4.883;55.18;2.441;-22.46;-11.72;3.418;9.766;-15.62;-38.09;-3.907;-17.09;-4.394;0;-0.977;-8.301;4.883;-10.74;-27.83;4.883;1.465;3.906;-7.812;0;0.9764;0.7834;-0.2205;0.5187;0.5679;-0.2763;0.7027;0.2577;-0.6677;0.229;0.0354;-0.6703;-0.1348;-0.07532;0.1279;-0.03528;-0.613;-0.305;-0.661;-0.5613;-0.3639;-0.529;0.09693;-0.1153;-0.7084;0.6918;-0.3801;0.5369;0.5642;-0.3469;0.6731
