MR32 CSV
Name;RULA Handgelenk Flex
Frequency;100
Date;24-04-2018 15:20:45
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;-9.178;2.827;-12.96;2.282;-0.1242;0.117;1.696;-3.278;-4.24;-5.212;-10.76;11.86;1.938;-0.3884;-1.859;11.85;-0.548;-70.33;-58.86;-37.56;-52.07;-14.53;-24.5;14.54;-6.753;-57.17;6.479;0.9215;-44.13;-2.211;-2.443;26.33;-9.732;0.7203;26.26;-14.94;0.7348;82.89;28.14;-33.06;-103.1;-3.726;2.507;-103.6;-14.47;2.583;-158.6;41.26;55.87;-39.91;-0.5746;0.7948;-40;1.709;0.9158;2.93;6.836;1.465;1.953;7.813;5.371;2.929;7.813;1.465;3.906;19.04;-1.953;-0.4882;22.46;-11.23;-10.25;13.67;-5.371;0;2.93;-0.9768;15.62;-4.395;0.9765;0.9764;4.394;-0.9768;-3.906;-3.906;2.93;0.7738;-0.1285;0.5761;0.5285;-0.2321;0.7583;-0.01947;-0.6761;0.07673;-0.2445;-0.674;-0.1752;-0.5447;-0.6233;-0.1472;-0.476;-0.4879;-0.5877;-0.4001;-0.5778;-0.4559;-0.1097;-0.9428;-0.1514;0.7177;-0.3375;0.5491;0.5921;-0.3143;0.6829
0.01;0;-9.148;2.804;-12.97;2.267;-0.1336;0.1295;1.707;-3.254;-4.251;-5.223;-10.77;11.83;1.928;-0.3978;-1.854;11.83;-0.5298;-70.34;-58.84;-37.56;-52.05;-14.54;-24.49;14.57;-6.742;-57.18;6.453;0.9217;-44.14;-2.211;-2.42;26.33;-9.731;0.7088;26.27;-14.95;0.7231;82.85;28.13;-33.08;-103.1;-3.719;2.503;-103.5;-14.48;2.58;-158.6;41.25;55.86;-39.91;-0.564;0.795;-40.01;1.704;0.9251;-3.906;-1.465;1.953;6.836;7.324;0;1.465;-4.882;-1.953;0;17.09;0;7.324;26.86;-5.86;1.953;15.62;9.278;-0.4881;-2.93;1.953;2.93;-21.48;-4.883;4.883;5.859;-6.348;2.93;3.906;-3.906;0.7737;-0.1284;0.5763;0.5286;-0.2319;0.7583;-0.01953;-0.6762;0.07673;-0.2445;-0.674;-0.1751;-0.5447;-0.6234;-0.1469;-0.4761;-0.4878;-0.5877;-0.4002;-0.5777;-0.4561;-0.1098;-0.9428;-0.1516;0.7177;-0.3376;0.549;0.5921;-0.3142;0.6829
0.02;0;-9.119;2.784;-12.97;2.262;-0.1327;0.1182;1.713;-3.234;-4.238;-5.232;-10.77;11.81;1.91;-0.3954;-1.841;11.81;-0.5094;-70.34;-58.83;-37.59;-52.04;-14.55;-24.5;14.56;-6.736;-57.18;6.427;0.9228;-44.14;-2.213;-2.399;26.33;-9.731;0.7088;26.27;-14.96;0.7231;82.83;28.15;-33.11;-103;-3.715;2.493;-103.5;-14.47;2.57;-158.6;41.23;55.84;-39.92;-0.5595;0.7956;-40.01;1.704;0.9251;-4.395;2.442;-0.9763;1.465;6.836;-4.883;-0.4884;-5.372;5.859;-3.906;29.3;2.441;16.11;49.32;-0.9771;0;4.395;0;-7.324;-4.883;-2.442;5.372;-23.44;4.395;5.371;5.371;-3.418;4.883;6.348;2.93;0.7735;-0.1283;0.5765;0.5286;-0.2318;0.7583;-0.01953;-0.6762;0.07673;-0.2445;-0.674;-0.1749;-0.5447;-0.6235;-0.1469;-0.4761;-0.4877;-0.5878;-0.4002;-0.5775;-0.4563;-0.1099;-0.9427;-0.1518;0.7178;-0.3375;0.549;0.5921;-0.3142;0.6829
0.03;0;-9.114;2.76;-12.97;2.259;-0.1383;0.1272;1.729;-3.212;-4.243;-5.222;-10.77;11.8;1.888;-0.3941;-1.822;11.79;-0.4957;-70.33;-58.8;-37.61;-52.04;-14.56;-24.49;14.51;-6.742;-57.19;6.417;0.9198;-44.14;-2.222;-2.38;26.32;-9.74;0.7048;26.26;-14.96;0.719;82.84;28.18;-33.14;-103;-3.705;2.485;-103.5;-14.47;2.561;-158.6;41.23;55.81;-39.92;-0.5522;0.7929;-40.02;1.709;0.9277;-6.836;1.465;4.883;0;-0.4883;3.906;0;-9.277;-1.465;-2.93;27.83;0.4884;12.7;19.04;1.953;-4.883;-6.348;5.371;-5.859;-3.418;-16.11;1.953;-23.93;-11.23;0;-0.9764;-5.859;0;-1.953;-7.325;0.7735;-0.1283;0.5765;0.5287;-0.2316;0.7583;-0.01953;-0.6762;0.07685;-0.2445;-0.6741;-0.1749;-0.5449;-0.6236;-0.147;-0.4762;-0.4875;-0.5878;-0.4003;-0.5775;-0.4563;-0.1099;-0.9427;-0.1519;0.7178;-0.3376;0.549;0.5922;-0.3141;0.6829
0.04;0;-9.091;2.74;-12.96;2.25;-0.1341;0.1266;1.735;-3.195;-4.257;-5.215;-10.77;11.78;1.882;-0.3959;-1.821;11.77;-0.476;-70.34;-58.78;-37.64;-52.03;-14.57;-24.49;14.47;-6.752;-57.19;6.402;0.9189;-44.16;-2.218;-2.36;26.31;-9.74;0.7056;26.25;-14.95;0.7198;82.86;28.21;-33.15;-103;-3.703;2.481;-103.5;-14.46;2.557;-158.6;41.23;55.81;-39.92;-0.5432;0.797;-40.02;1.709;0.9277;-4.395;4.883;-4.883;-1.953;-2.441;4.883;-0.9768;5.86;-0.9764;5.371;25.39;-6.347;0;6.348;-6.347;-2.442;-12.7;6.348;-0.4881;2.441;-6.348;-3.417;-14.16;-8.789;-8.301;-8.301;3.906;0.9767;-2.441;-1.953;0.7734;-0.1282;0.5766;0.5288;-0.2314;0.7583;-0.01947;-0.6762;0.07691;-0.2445;-0.6741;-0.1751;-0.545;-0.6237;-0.1472;-0.4762;-0.4875;-0.5878;-0.4002;-0.5775;-0.4562;-0.1099;-0.9427;-0.1519;0.7179;-0.3375;0.5489;0.5922;-0.3141;0.6829
0.05;0;-9.066;2.708;-12.97;2.246;-0.1323;0.1362;1.745;-3.173;-4.256;-5.217;-10.77;11.74;1.867;-0.4057;-1.813;11.74;-0.4449;-70.32;-58.79;-37.66;-52.04;-14.56;-24.49;14.43;-6.756;-57.19;6.381;0.9179;-44.15;-2.221;-2.329;26.3;-9.739;0.6956;26.23;-14.96;0.7096;82.87;28.24;-33.16;-103;-3.701;2.477;-103.5;-14.46;2.552;-158.6;41.24;55.8;-39.92;-0.5367;0.8062;-40.02;1.711;0.9347;4.395;12.7;1.465;2.929;3.418;-2.93;10.25;36.62;-15.63;11.72;4.394;-8.789;-8.789;-13.67;5.86;0.9768;-10.25;-6.836;-3.906;9.766;-7.813;-3.906;-0.9764;6.348;0;-1.465;0.9768;-3.906;-2.93;0.9764;0.7733;-0.1282;0.5768;0.5288;-0.2312;0.7582;-0.01941;-0.6762;0.07703;-0.2447;-0.6741;-0.1752;-0.5451;-0.6238;-0.1474;-0.4762;-0.4875;-0.5878;-0.4002;-0.5775;-0.4561;-0.1099;-0.9427;-0.1518;0.7179;-0.3375;0.5489;0.5923;-0.314;0.6829
0.06;0;-9.06;2.688;-12.99;2.238;-0.1241;0.1306;1.767;-3.161;-4.241;-5.23;-10.76;11.71;1.849;-0.4036;-1.798;11.7;-0.4294;-70.3;-58.8;-37.65;-52.04;-14.57;-24.49;14.41;-6.748;-57.2;6.365;0.9213;-44.14;-2.235;-2.309;26.29;-9.725;0.6816;26.22;-14.96;0.6953;82.86;28.25;-33.18;-103;-3.697;2.479;-103.5;-14.45;2.555;-158.6;41.24;55.8;-39.93;-0.5295;0.8141;-40.02;1.711;0.9347;-1.465;-0.4882;0;0.9762;8.789;-6.348;9.278;17.58;-18.55;6.347;-13.67;-15.62;-6.348;-17.58;8.788;-1.465;-11.72;4.883;0.4881;21;3.418;0.4885;4.883;9.278;0;5.371;-0.9768;0.9767;7.813;0;0.7732;-0.1281;0.5769;0.5288;-0.2311;0.7582;-0.01929;-0.6764;0.07709;-0.2448;-0.6741;-0.1752;-0.5451;-0.6238;-0.1474;-0.4762;-0.4875;-0.5878;-0.4001;-0.5775;-0.456;-0.1099;-0.9427;-0.1518;0.718;-0.3375;0.5488;0.5923;-0.314;0.6829
0.07;0;-9.05;2.681;-12.99;2.232;-0.1259;0.1374;1.777;-3.15;-4.246;-5.239;-10.76;11.69;1.844;-0.3948;-1.795;11.69;-0.4252;-70.31;-58.82;-37.66;-52.06;-14.58;-24.5;14.43;-6.739;-57.2;6.354;0.9233;-44.14;-2.239;-2.301;26.3;-9.721;0.6828;26.24;-14.96;0.6966;82.84;28.25;-33.19;-103;-3.692;2.482;-103.5;-14.44;2.558;-158.6;41.25;55.81;-39.92;-0.5227;0.8126;-40.02;1.711;0.9347;-1.465;0;-4.883;0.9762;2.93;-5.371;1.465;10.25;-7.325;4.395;-6.836;-7.324;0.4882;0.9762;-12.21;4.883;5.859;-8.301;-4.882;7.324;1.465;-2.442;-3.417;12.21;0;3.906;-2.441;-2.441;0;0;0.7732;-0.1281;0.5769;0.5288;-0.231;0.7582;-0.01935;-0.6764;0.07697;-0.2447;-0.6742;-0.1751;-0.5451;-0.6239;-0.1473;-0.4762;-0.4875;-0.5877;-0.4002;-0.5775;-0.456;-0.11;-0.9427;-0.1517;0.718;-0.3375;0.5487;0.5923;-0.314;0.6829
0.08;0;-9.023;2.68;-12.98;2.223;-0.1218;0.1349;1.783;-3.152;-4.241;-5.259;-10.77;11.67;1.832;-0.3959;-1.784;11.67;-0.4192;-70.33;-58.82;-37.66;-52.06;-14.58;-24.5;14.48;-6.735;-57.19;6.329;0.9324;-44.14;-2.239;-2.29;26.33;-9.712;0.6744;26.26;-14.97;0.6881;82.82;28.24;-33.2;-103;-3.683;2.476;-103.5;-14.44;2.551;-158.6;41.24;55.81;-39.92;-0.5179;0.8256;-40.02;1.707;0.9437;-0.4882;0.9764;2.442;-4.394;-4.395;5.371;-5.86;-9.277;-3.906;8.789;12.21;-5.371;0.4882;14.65;1.953;0;7.325;-0.9764;-5.371;5.371;-11.23;6.347;2.929;-0.4888;-1.465;1.953;7.813;-0.4882;1.465;0;0.773;-0.1281;0.577;0.5288;-0.231;0.7582;-0.01947;-0.6764;0.07679;-0.2446;-0.6742;-0.1749;-0.5451;-0.6239;-0.1471;-0.4763;-0.4874;-0.5877;-0.4002;-0.5774;-0.456;-0.11;-0.9427;-0.1518;0.7181;-0.3375;0.5487;0.5923;-0.314;0.6829
0.09;0;-9.013;2.669;-12.97;2.22;-0.1133;0.1275;1.785;-3.148;-4.247;-5.257;-10.77;11.66;1.832;-0.4062;-1.785;11.66;-0.4124;-70.35;-58.82;-37.66;-52.06;-14.59;-24.5;14.52;-6.718;-57.18;6.323;0.9323;-44.14;-2.238;-2.279;26.35;-9.718;0.6637;26.28;-14.97;0.6771;82.79;28.24;-33.21;-103;-3.679;2.478;-103.5;-14.44;2.554;-158.6;41.24;55.8;-39.92;-0.5152;0.833;-40.01;1.707;0.9428;-2.441;-1.465;-10.74;6.347;-4.395;1.953;3.906;-19.53;14.16;2.93;18.07;-7.813;8.301;16.6;-0.9771;-5.859;3.418;-0.4882;-0.4881;12.21;-16.11;-3.906;6.836;4.883;1.465;5.859;9.277;0.9767;0;2.442;0.773;-0.1282;0.5771;0.5288;-0.2309;0.7581;-0.01965;-0.6765;0.07672;-0.2445;-0.6742;-0.1747;-0.545;-0.6241;-0.1469;-0.4763;-0.4875;-0.5876;-0.4003;-0.5774;-0.4561;-0.1101;-0.9426;-0.1519;0.7181;-0.3375;0.5486;0.5922;-0.3141;0.6829
