MR32 CSV
Name;RULA Kopf Flex
Frequency;100
Date;24-04-2018 15:11:24
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;22.88;0.6638;3.67;-3.092;-0.3112;-0.9755;39.79;-3.192;-3.422;9.204;4.916;39.66;39.16;39.28;39.15;7.674;-1.369;-48.86;-42.36;0.9724;4.954;0.5547;1.817;31.64;25.09;147.7;-59.42;-5.948;140.1;-36.81;-1.551;-170.1;-2.108;4.877;-169.3;7.063;4.912;-111.4;-1.409;9.141;97.14;1.609;-1.691;96.99;6.523;-1.701;32.84;-3.671;-8.46;143.4;2.907;1.431;144.3;-0.2135;1.737;8.789;13.67;4.394;0.9768;-6.836;1.465;4.883;9.766;-0.9763;-0.9763;4.883;1.465;16.11;12.7;-1.953;4.883;3.906;-9.277;5.371;8.789;1.465;7.324;7.813;-11.23;1.465;-0.4883;-1.465;-1.953;-9.766;4.395;-0.1214;-0.2955;-0.4936;-0.1288;-0.2802;-0.3922;-0.6648;-0.1367;-0.7222;0.6931;0.02362;0.6969;0.4447;-0.255;0.8582;0.356;-0.566;0.3667;0.3519;-0.5956;0.5245;0.5291;-0.2205;0.513;-0.3632;-0.7253;-0.2724;-0.3256;-0.5715;-0.3248
0.01;0;22.89;0.6512;3.688;-3.094;-0.3244;-0.9808;39.78;-3.18;-3.439;9.206;4.912;39.65;39.15;39.27;39.13;7.678;-1.372;-48.86;-42.35;0.9667;4.952;0.5609;1.81;31.64;25.06;147.8;-59.41;-5.987;140.1;-36.8;-1.554;-170.1;-2.105;4.884;-169.3;7.068;4.918;-111.4;-1.406;9.155;97.14;1.609;-1.691;96.99;6.519;-1.701;32.81;-3.674;-8.45;143.4;2.918;1.422;144.3;-0.2045;1.74;6.348;3.418;-16.11;8.301;-8.301;-1.953;1.953;7.812;3.418;-0.4882;3.906;8.789;9.766;13.67;11.72;-6.348;-3.418;2.93;3.418;8.789;0;0.4883;0.9762;-1.953;1.465;2.442;6.836;-0.4884;-2.441;-4.395;-0.1216;-0.2955;-0.4936;-0.1289;-0.2803;-0.3922;-0.6648;-0.1368;-0.7222;0.6931;0.02374;0.6969;0.4447;-0.2549;0.8582;0.356;-0.566;0.3667;0.352;-0.5956;0.5245;0.5293;-0.2203;0.5131;-0.3634;-0.7253;-0.2724;-0.3256;-0.5715;-0.3249
0.02;0;22.89;0.6382;3.72;-3.101;-0.3416;-0.9901;39.78;-3.174;-3.444;9.213;4.912;39.64;39.13;39.26;39.12;7.679;-1.373;-48.85;-42.35;0.9691;4.952;0.5507;1.792;31.65;25.04;147.8;-59.39;-6.037;140.1;-36.78;-1.555;-170.1;-2.097;4.892;-169.3;7.082;4.927;-111.4;-1.407;9.161;97.13;1.612;-1.695;96.99;6.522;-1.705;32.78;-3.678;-8.436;143.4;2.931;1.417;144.3;-0.1996;1.753;5.371;9.277;-2.442;11.23;-1.465;-11.23;0;10.25;0.4882;-2.441;3.418;8.789;6.836;19.53;-3.906;-3.906;-0.9764;-0.9768;-3.418;11.23;2.929;4.394;12.7;6.836;-4.883;-1.953;0.9764;-2.93;-7.324;-10.25;-0.1219;-0.2955;-0.4936;-0.1289;-0.2804;-0.3921;-0.6647;-0.137;-0.7222;0.693;0.02387;0.697;0.4447;-0.2548;0.8583;0.356;-0.5659;0.3667;0.3519;-0.5956;0.5246;0.5294;-0.2202;0.5132;-0.3634;-0.7254;-0.2723;-0.3256;-0.5716;-0.325
0.03;0;22.89;0.6264;3.743;-3.114;-0.3445;-0.9912;39.78;-3.177;-3.45;9.219;4.905;39.63;39.12;39.26;39.11;7.673;-1.379;-48.85;-42.36;0.9819;4.954;0.5441;1.793;31.65;25.02;147.9;-59.37;-6.075;140.1;-36.76;-1.555;-170.1;-2.088;4.896;-169.3;7.097;4.931;-111.4;-1.415;9.17;97.13;1.616;-1.692;96.99;6.519;-1.702;32.76;-3.682;-8.435;143.4;2.946;1.42;144.4;-0.1973;1.759;8.789;6.836;-7.812;7.324;-6.836;-4.883;-7.813;0.488;-5.859;-1.953;4.883;7.324;3.906;9.765;-2.442;-7.324;-8.789;6.347;-0.4883;4.394;1.465;-5.371;0;-7.324;0.4883;3.418;0.9764;2.93;-0.4883;1.465;-0.1221;-0.2956;-0.4936;-0.129;-0.2805;-0.3921;-0.6647;-0.1371;-0.7222;0.693;0.02399;0.697;0.4446;-0.2547;0.8583;0.3561;-0.566;0.3667;0.352;-0.5956;0.5246;0.5294;-0.22;0.5133;-0.3635;-0.7254;-0.2723;-0.3256;-0.5716;-0.325
0.04;0;22.89;0.6031;3.773;-3.128;-0.3474;-0.9923;39.78;-3.171;-3.457;9.217;4.896;39.63;39.12;39.26;39.11;7.669;-1.368;-48.83;-42.36;0.9754;4.949;0.5501;1.788;31.64;25.02;147.9;-59.36;-6.122;140.1;-36.75;-1.547;-170.1;-2.082;4.909;-169.3;7.101;4.943;-111.5;-1.418;9.186;97.12;1.625;-1.703;96.98;6.518;-1.713;32.74;-3.688;-8.434;143.5;2.962;1.424;144.4;-0.1951;1.765;8.301;-2.441;-10.74;7.324;-9.277;-5.859;1.465;11.72;2.93;-4.395;0;-0.4882;7.324;9.277;-1.465;0.4882;-2.442;0.4881;-6.348;-6.347;8.301;-11.72;0;8.301;4.883;3.418;-5.859;7.813;-0.4883;-5.859;-0.1224;-0.2956;-0.4935;-0.129;-0.2807;-0.3921;-0.6646;-0.1373;-0.7222;0.693;0.02405;0.697;0.4445;-0.2546;0.8584;0.356;-0.566;0.3668;0.352;-0.5956;0.5246;0.5295;-0.2199;0.5133;-0.3635;-0.7255;-0.2723;-0.3257;-0.5716;-0.3251
0.05;0;22.89;0.5937;3.804;-3.141;-0.3506;-0.9969;39.8;-3.169;-3.469;9.215;4.901;39.63;39.12;39.26;39.11;7.657;-1.359;-48.82;-42.37;0.9767;4.942;0.5551;1.773;31.63;25.03;148;-59.35;-6.166;140.1;-36.74;-1.546;-170.1;-2.069;4.908;-169.3;7.112;4.943;-111.5;-1.416;9.2;97.11;1.626;-1.713;96.96;6.525;-1.724;32.74;-3.686;-8.429;143.5;2.985;1.424;144.4;-0.1857;1.769;15.14;0;-6.836;13.18;-5.859;-0.4882;-3.906;8.789;0.9763;-4.883;0;4.395;2.442;6.348;0;-0.9764;-2.93;0;2.441;0.4879;8.789;-3.906;5.859;7.812;5.859;3.906;-0.9764;6.348;-6.348;-3.906;-0.1226;-0.2956;-0.4936;-0.129;-0.2807;-0.3921;-0.6646;-0.1374;-0.7222;0.6929;0.02411;0.6971;0.4445;-0.2545;0.8584;0.356;-0.5659;0.367;0.3519;-0.5956;0.5246;0.5295;-0.2199;0.5133;-0.3636;-0.7256;-0.2722;-0.3257;-0.5716;-0.3252
0.06;0;22.89;0.6013;3.82;-3.149;-0.356;-0.9998;39.8;-3.175;-3.477;9.225;4.898;39.63;39.12;39.25;39.1;7.659;-1.365;-48.82;-42.38;0.9899;4.937;0.5556;1.77;31.63;25.05;148;-59.34;-6.183;140.1;-36.73;-1.552;-170.1;-2.065;4.91;-169.3;7.127;4.945;-111.5;-1.421;9.214;97.09;1.629;-1.717;96.95;6.524;-1.727;32.75;-3.681;-8.427;143.5;2.996;1.425;144.4;-0.1834;1.776;17.58;-3.418;-19.53;11.72;0.4881;-9.277;2.441;16.6;3.418;-0.4882;0;2.441;0;9.765;6.347;1.953;-2.442;-3.418;7.324;10.74;-0.4885;-1.465;8.301;10.74;1.953;2.442;-4.395;2.93;-4.395;-0.4882;-0.1227;-0.2956;-0.4936;-0.129;-0.2808;-0.392;-0.6646;-0.1375;-0.7222;0.6928;0.02423;0.6971;0.4445;-0.2543;0.8585;0.356;-0.5658;0.3671;0.3519;-0.5955;0.5247;0.5295;-0.22;0.5133;-0.3637;-0.7256;-0.2722;-0.3257;-0.5716;-0.3252
0.07;0;22.89;0.6003;3.828;-3.158;-0.3505;-1.01;39.81;-3.181;-3.471;9.209;4.894;39.63;39.12;39.26;39.1;7.643;-1.37;-48.81;-42.39;0.9872;4.95;0.572;1.784;31.64;25.07;148;-59.34;-6.188;140.1;-36.73;-1.55;-170.1;-2.048;4.911;-169.4;7.127;4.946;-111.5;-1.419;9.231;97.09;1.632;-1.713;96.94;6.524;-1.724;32.76;-3.689;-8.438;143.5;3.01;1.432;144.4;-0.1786;1.777;7.813;-12.21;-18.55;5.371;-7.324;1.465;0;7.812;8.301;3.418;9.277;3.418;-1.465;2.442;-0.9768;0.4882;-4.394;0.9768;4.883;-2.441;4.394;0;0;2.93;3.418;9.277;3.418;3.418;-5.371;-3.418;-0.1228;-0.2956;-0.4937;-0.129;-0.2808;-0.392;-0.6647;-0.1376;-0.7222;0.6928;0.02423;0.6972;0.4445;-0.2542;0.8586;0.3561;-0.5658;0.3671;0.3519;-0.5955;0.5247;0.5294;-0.22;0.5133;-0.3637;-0.7257;-0.2722;-0.3258;-0.5716;-0.3253
0.08;0;22.9;0.596;3.833;-3.189;-0.356;-1.008;39.83;-3.181;-3.477;9.205;4.89;39.63;39.11;39.26;39.09;7.642;-1.375;-48.8;-42.42;0.9842;4.958;0.5698;1.794;31.65;25.1;148;-59.34;-6.206;140.1;-36.73;-1.554;-170.1;-2.039;4.914;-169.4;7.132;4.95;-111.5;-1.415;9.235;97.06;1.631;-1.712;96.92;6.52;-1.722;32.78;-3.694;-8.443;143.5;3.038;1.431;144.4;-0.1805;1.781;9.766;-5.859;-12.21;7.324;1.953;-5.859;-4.883;11.23;-1.465;-4.883;-7.325;9.766;-1.953;1.953;-0.488;0;1.465;-8.301;4.883;2.93;6.347;-3.418;-5.371;-2.93;-1.465;0.9766;-4.395;1.953;-1.465;-2.93;-0.1229;-0.2956;-0.4937;-0.1291;-0.2808;-0.392;-0.6646;-0.1377;-0.7221;0.6928;0.02429;0.6972;0.4445;-0.254;0.8586;0.3562;-0.5658;0.3673;0.3519;-0.5954;0.5247;0.5293;-0.22;0.5132;-0.3638;-0.7258;-0.2722;-0.3258;-0.5716;-0.3253
0.09;0;22.9;0.6096;3.835;-3.199;-0.3542;-1.013;39.85;-3.187;-3.479;9.205;4.888;39.64;39.12;39.26;39.1;7.645;-1.378;-48.8;-42.44;0.9882;4.964;0.5845;1.808;31.67;25.12;148;-59.34;-6.196;140.1;-36.73;-1.556;-170.1;-2.039;4.914;-169.4;7.132;4.95;-111.5;-1.415;9.25;97.05;1.634;-1.715;96.9;6.52;-1.726;32.78;-3.701;-8.458;143.5;3.054;1.434;144.4;-0.1757;1.783;7.813;-4.394;-22.95;12.7;0;-11.72;-0.4882;10.25;-0.4882;-3.907;-3.418;6.347;1.953;4.883;-9.277;1.953;5.86;-5.859;5.859;2.441;-1.953;5.371;1.953;1.953;-2.93;0.4883;-9.277;5.371;-0.4883;-6.348;-0.1229;-0.2956;-0.4938;-0.1291;-0.2808;-0.3921;-0.6646;-0.1377;-0.7221;0.6928;0.02429;0.6972;0.4445;-0.2539;0.8586;0.3563;-0.5657;0.3674;0.3519;-0.5954;0.5248;0.5292;-0.22;0.5133;-0.3638;-0.7259;-0.2722;-0.3258;-0.5716;-0.3254
