MR32 CSV
Name;RULA Kopf Lateral Flex rechts
Frequency;100
Date;24-04-2018 15:12:42
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;2.746;27.12;13.86;1.363;-0.395;-1.284;-6.079;4.261;4.292;8.567;4.206;2.024;2.286;-2.005;-0.5068;0.2741;2.229;-36.19;-53.9;-1.341;2.658;-1.143;-1.585;24.23;16.39;-110.4;0.6299;32.29;-123.3;4.458;4.278;-87.43;-0.6926;5.118;-86.66;7.84;5.166;-21.17;-0.1255;8.122;-177.4;3.98;-1.993;-177.5;8.183;-2.009;109.3;-2.245;-6.836;-127.9;-1.614;0.1441;-126.6;-0.2634;0.5331;0.9763;3.906;-5.371;-5.371;0;0.4883;13.18;3.418;-2.441;2.93;8.301;-0.9766;15.63;5.371;0;2.93;6.836;2.442;-4.395;12.21;0;-8.301;4.394;0;-3.906;-3.906;-7.813;2.93;0;7.813;0.6425;0.3885;0.6437;-0.586;-0.217;-0.7526;0.597;-0.3303;0.6237;0.5273;-0.4465;0.3884;0.1392;-0.5056;0.5802;-0.1381;-0.6581;-0.1558;-0.1329;-0.6744;0.0813;0.2863;-0.5143;0.007081;-0.7468;-0.2503;-0.5834;-0.6349;-0.1712;-0.706
0.01;0;2.764;27.13;13.87;1.363;-0.3948;-1.281;-6.091;4.267;4.302;8.564;4.217;2.022;2.297;-2.005;-0.519;0.2614;2.238;-36.16;-53.92;-1.33;2.644;-1.142;-1.592;24.24;16.39;-110.4;0.617;32.32;-123.3;4.465;4.285;-87.44;-0.6813;5.117;-86.67;7.848;5.165;-21.2;-0.1305;8.131;-177.4;3.974;-1.992;-177.6;8.189;-2.008;109.3;-2.229;-6.833;-127.9;-1.619;0.1459;-126.6;-0.2685;0.5346;-5.371;-2.93;-2.442;3.906;-0.4882;-2.93;12.7;-0.4882;6.348;4.394;8.789;7.813;18.55;10.25;0;0.9768;0.488;-9.766;0;-4.394;-3.418;-2.93;14.16;0.4882;0;0;-1.465;-1.465;-2.441;1.465;0.6424;0.3885;0.6437;-0.586;-0.217;-0.7526;0.5971;-0.3302;0.6237;0.5274;-0.4464;0.3884;0.1393;-0.5055;0.5804;-0.138;-0.6581;-0.1558;-0.1331;-0.6744;0.08118;0.2864;-0.5143;0.007264;-0.7467;-0.2503;-0.5835;-0.6348;-0.1712;-0.7061
0.02;0;2.785;27.15;13.88;1.37;-0.3983;-1.279;-6.107;4.271;4.323;8.574;4.225;2.035;2.3;-2.019;-0.5306;0.2546;2.239;-36.13;-53.95;-1.323;2.637;-1.139;-1.598;24.24;16.38;-110.4;0.6015;32.33;-123.3;4.472;4.291;-87.46;-0.6833;5.113;-86.69;7.856;5.161;-21.21;-0.1308;8.139;-177.4;3.975;-1.987;-177.6;8.197;-2.002;109.2;-2.215;-6.834;-127.9;-1.629;0.1491;-126.6;-0.2713;0.5413;0.4884;4.394;4.883;1.465;-13.18;-8.789;9.765;2.93;8.301;9.277;13.67;7.324;10.74;12.21;9.277;8.789;0.488;-3.907;5.859;-0.9764;-8.301;-1.953;11.72;-2.442;3.906;4.394;-0.4885;4.883;3.418;-1.465;0.6423;0.3884;0.6438;-0.5861;-0.2169;-0.7526;0.5971;-0.3301;0.6238;0.5274;-0.4464;0.3883;0.1393;-0.5055;0.5804;-0.1379;-0.6581;-0.1557;-0.1333;-0.6743;0.08112;0.2864;-0.5144;0.007386;-0.7467;-0.2503;-0.5835;-0.6348;-0.1712;-0.7061
0.03;0;2.789;27.18;13.88;1.369;-0.3974;-1.278;-6.103;4.276;4.329;8.561;4.227;2.018;2.304;-2.002;-0.5198;0.2509;2.244;-36.1;-53.97;-1.322;2.623;-1.138;-1.597;24.22;16.4;-110.4;0.5924;32.36;-123.3;4.467;4.291;-87.48;-0.6693;5.117;-86.71;7.858;5.165;-21.21;-0.1386;8.143;-177.4;3.973;-1.996;-177.6;8.197;-2.012;109.3;-2.208;-6.837;-127.9;-1.63;0.1451;-126.6;-0.2728;0.5363;-10.25;0;-4.883;11.23;-11.23;0;1.465;2.93;10.25;0;1.465;5.86;10.25;11.72;-6.836;9.766;-3.418;-6.836;5.371;-7.812;-18.07;-0.4881;18.55;-0.4882;0;6.348;5.859;4.395;5.859;0.4881;0.6422;0.3885;0.6438;-0.5861;-0.2169;-0.7527;0.5973;-0.3299;0.6238;0.5274;-0.4465;0.3883;0.1393;-0.5054;0.5804;-0.1379;-0.6581;-0.1556;-0.1334;-0.6743;0.081;0.2863;-0.5144;0.007386;-0.7467;-0.2503;-0.5835;-0.6348;-0.1712;-0.7061
0.04;0;2.786;27.2;13.88;1.376;-0.3986;-1.273;-6.098;4.275;4.328;8.569;4.223;2.006;2.309;-1.991;-0.5105;0.2454;2.252;-36.08;-53.99;-1.329;2.619;-1.146;-1.59;24.2;16.43;-110.3;0.5846;32.39;-123.3;4.457;4.292;-87.48;-0.6652;5.115;-86.71;7.869;5.163;-21.19;-0.1283;8.144;-177.4;3.967;-2;-177.6;8.187;-2.016;109.3;-2.207;-6.835;-127.8;-1.635;0.148;-126.6;-0.2711;0.5406;-4.395;2.442;1.465;13.18;-1.465;0;-1.953;2.442;3.418;2.93;-4.394;5.86;8.301;7.813;0;15.14;10.74;-0.9768;6.348;-8.301;-19.53;-2.93;7.812;1.465;-4.883;0.9766;4.883;3.418;4.883;1.953;0.6421;0.3885;0.6438;-0.586;-0.2168;-0.7527;0.5973;-0.3299;0.6238;0.5274;-0.4466;0.3881;0.1393;-0.5055;0.5803;-0.1378;-0.658;-0.1556;-0.1334;-0.6743;0.08094;0.2863;-0.5145;0.007264;-0.7467;-0.2502;-0.5836;-0.6348;-0.1712;-0.7061
0.05;0;2.79;27.24;13.9;1.377;-0.3862;-1.253;-6.099;4.257;4.312;8.561;4.214;2.002;2.302;-1.987;-0.5041;0.2503;2.247;-36.08;-53.98;-1.351;2.615;-1.138;-1.596;24.17;16.44;-110.3;0.5793;32.41;-123.3;4.454;4.283;-87.48;-0.6606;5.112;-86.71;7.866;5.161;-21.16;-0.1104;8.148;-177.4;3.966;-2.005;-177.6;8.177;-2.021;109.3;-2.208;-6.822;-127.8;-1.638;0.1561;-126.6;-0.2728;0.5363;-7.324;-7.812;-0.9763;0.9768;-5.371;-5.859;3.418;15.14;9.766;3.906;-9.766;-1.953;8.789;8.301;-8.789;2.441;2.442;-1.953;7.813;6.348;-6.836;5.859;2.929;-9.277;-3.906;-0.9766;5.371;-1.465;4.394;0;0.6421;0.3886;0.6438;-0.586;-0.2167;-0.7527;0.5974;-0.3298;0.6237;0.5273;-0.4467;0.388;0.1393;-0.5055;0.58;-0.1378;-0.658;-0.1557;-0.1333;-0.6742;0.08088;0.2863;-0.5146;0.007081;-0.7467;-0.2501;-0.5837;-0.6348;-0.1712;-0.7061
0.06;0;2.782;27.24;13.91;1.371;-0.3815;-1.248;-6.099;4.271;4.298;8.581;4.208;1.998;2.322;-1.985;-0.5021;0.2303;2.268;-36.1;-53.98;-1.354;2.621;-1.152;-1.596;24.15;16.44;-110.3;0.5766;32.44;-123.3;4.449;4.3;-87.46;-0.6641;5.108;-86.69;7.883;5.156;-21.12;-0.09992;8.147;-177.4;3.961;-2.004;-177.6;8.167;-2.02;109.3;-2.216;-6.811;-127.8;-1.643;0.1591;-126.6;-0.2836;0.5344;0;-2.93;-4.883;-5.859;-0.4882;-0.4883;-4.395;18.07;9.277;-2.441;-3.418;1.953;-0.4883;0.4879;-9.765;-5.859;0;0;-0.4884;9.766;-11.72;7.324;-1.953;-1.953;2.441;3.906;-3.906;-3.418;3.418;-0.9768;0.642;0.3886;0.6437;-0.586;-0.2169;-0.7528;0.5973;-0.33;0.6237;0.5274;-0.4467;0.3878;0.1392;-0.5056;0.5798;-0.1378;-0.658;-0.1557;-0.1332;-0.6742;0.08081;0.2863;-0.5146;0.006958;-0.7467;-0.2501;-0.5837;-0.6347;-0.1711;-0.7062
0.07;0;2.777;27.26;13.9;1.373;-0.3844;-1.243;-6.085;4.277;4.302;8.589;4.205;1.988;2.331;-1.975;-0.4866;0.2243;2.28;-36.12;-53.99;-1.375;2.608;-1.148;-1.607;24.15;16.45;-110.3;0.5724;32.46;-123.3;4.44;4.306;-87.43;-0.665;5.108;-86.66;7.889;5.157;-21.09;-0.07611;8.157;-177.4;3.96;-2.014;-177.6;8.162;-2.03;109.3;-2.213;-6.798;-127.8;-1.638;0.1588;-126.6;-0.2768;0.5372;-3.418;-0.4883;0;-11.23;-5.371;0.9766;8.301;27.34;-0.4881;-4.394;1.465;-0.4883;-6.836;-4.883;-14.65;-4.883;1.953;-5.859;-4.395;8.789;0.4884;9.766;-3.418;-7.324;0;2.93;-3.418;-4.883;-2.93;7.324;0.642;0.3886;0.6437;-0.5859;-0.2168;-0.7529;0.5972;-0.3302;0.6236;0.5273;-0.4466;0.3878;0.1392;-0.5056;0.5795;-0.1378;-0.6579;-0.1557;-0.1332;-0.6742;0.08075;0.2864;-0.5146;0.006897;-0.7467;-0.25;-0.5837;-0.6348;-0.1711;-0.7061
0.08;0;2.776;27.28;13.9;1.372;-0.3794;-1.247;-6.085;4.277;4.312;8.604;4.2;1.997;2.329;-1.984;-0.4862;0.2249;2.278;-36.15;-54;-1.37;2.611;-1.144;-1.619;24.18;16.45;-110.3;0.5729;32.47;-123.3;4.439;4.305;-87.39;-0.6757;5.102;-86.62;7.894;5.15;-21.07;-0.06809;8.163;-177.4;3.96;-2.014;-177.6;8.157;-2.03;109.3;-2.217;-6.782;-127.8;-1.638;0.1588;-126.5;-0.2783;0.5321;2.929;6.348;0.9763;-1.953;-2.441;0.4883;-1.465;12.21;-5.371;-4.394;-1.953;-0.4883;-7.812;-4.883;-3.906;-9.766;3.906;14.65;-2.929;13.67;-1.465;3.906;-10.25;-9.765;-5.371;-1.953;0.4885;-1.953;0;5.859;0.6419;0.3887;0.6437;-0.5859;-0.2168;-0.7529;0.597;-0.3305;0.6235;0.5273;-0.4467;0.3877;0.1392;-0.5056;0.5794;-0.1378;-0.6579;-0.1557;-0.1332;-0.6742;0.08069;0.2865;-0.5146;0.006836;-0.7467;-0.25;-0.5837;-0.6348;-0.171;-0.7061
0.09;0;2.787;27.29;13.89;1.381;-0.376;-1.239;-6.097;4.266;4.318;8.613;4.2;2.005;2.327;-1.992;-0.4918;0.2251;2.274;-36.18;-54.02;-1.356;2.603;-1.141;-1.632;24.21;16.44;-110.3;0.5681;32.48;-123.2;4.444;4.303;-87.35;-0.6795;5.097;-86.58;7.899;5.146;-21.06;-0.07182;8.17;-177.4;3.959;-2.014;-177.6;8.157;-2.03;109.3;-2.21;-6.769;-127.8;-1.646;0.1672;-126.6;-0.2768;0.5372;-6.836;2.93;-15.62;5.371;-3.418;4.394;-0.9766;4.394;-0.9768;-4.394;5.371;-3.418;-11.23;-5.371;1.465;-7.813;0.9768;1.465;-0.9763;23.44;-0.9769;4.883;-5.86;-10.25;0;0.9766;0.4885;-6.836;-0.4884;4.883;0.6419;0.3887;0.6437;-0.586;-0.2167;-0.7529;0.5969;-0.3307;0.6233;0.5273;-0.4467;0.3875;0.1392;-0.5056;0.5793;-0.1378;-0.6579;-0.1557;-0.1333;-0.6741;0.08063;0.2866;-0.5147;0.006897;-0.7467;-0.25;-0.5838;-0.6348;-0.1711;-0.7061
