MR32 CSV
Name;RULA Kopf Lateral Flex
Frequency;100
Date;24-04-2018 15:12:01
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;0.7157;-38.38;-13.82;-0.4524;1.147;-3.24;2.909;-15.99;4.548;-3.423;1.137;15.39;12.96;4.311;2.303;14.83;-12.77;-37.26;-53.66;-0.6583;1.003;1.04;-1.309;34.36;19.84;-137.8;-6.167;-50.23;-124.6;-2.562;-12.77;-87.79;0.05548;2.609;-87.95;-3.364;2.614;-32.18;-3.396;-0.267;-178.5;-0.189;0.2521;-178.5;0.9484;0.2522;111.3;-0.4443;0.5022;-129.4;0.6191;3.175;-126.2;0.0524;2.034;7.812;4.394;-6.347;3.906;0;6.348;-0.9764;0;4.394;-3.418;3.906;-2.929;13.18;12.21;0;-1.465;8.301;0;2.93;10.25;-7.324;-3.905;12.69;0;-8.301;-6.836;-0.9764;-0.4882;-5.371;-1.953;-0.681;-0.09632;-0.5036;-0.5685;-0.09455;-0.7559;0.6062;-0.346;0.6108;0.5222;-0.464;0.478;0.1469;-0.541;0.6437;-0.103;-0.6683;-0.1754;-0.06659;-0.7018;0.05994;0.3197;-0.5487;-0.02582;-0.7487;-0.2796;-0.5732;-0.6346;-0.1792;-0.7083
0.01;0;0.7247;-38.39;-13.82;-0.4533;1.15;-3.255;2.914;-16;4.546;-3.433;1.142;15.4;12.96;4.325;2.314;14.84;-12.77;-37.27;-53.65;-0.6693;1.009;1.048;-1.305;34.37;19.87;-137.8;-6.191;-50.24;-124.6;-2.576;-12.78;-87.79;0.05112;2.612;-87.94;-3.378;2.616;-32.2;-3.395;-0.2678;-178.5;-0.1941;0.2532;-178.5;0.9484;0.2533;111.3;-0.4488;0.4986;-129.4;0.6097;3.177;-126.2;0.04154;2.032;13.18;11.72;4.395;2.442;-3.418;-1.465;-3.418;-2.93;0.9762;0.9764;3.418;-3.906;6.836;17.09;-0.9768;2.441;-1.465;-13.67;4.394;2.929;-16.6;-0.9764;6.836;-9.764;0;0.4882;0.4882;-0.9767;-6.836;3.418;-0.6808;-0.09632;-0.5036;-0.5684;-0.09455;-0.756;0.6061;-0.346;0.6108;0.5221;-0.4641;0.478;0.1469;-0.541;0.6438;-0.1029;-0.6683;-0.1754;-0.06665;-0.7019;0.05988;0.3196;-0.5487;-0.026;-0.7486;-0.2796;-0.5732;-0.6346;-0.1791;-0.7083
0.02;0;0.7312;-38.4;-13.83;-0.4592;1.148;-3.246;2.935;-15.99;4.536;-3.429;1.146;15.41;12.96;4.336;2.325;14.84;-12.77;-37.3;-53.64;-0.6652;1.016;1.04;-1.302;34.39;19.89;-137.8;-6.214;-50.25;-124.6;-2.593;-12.77;-87.77;0.04411;2.61;-87.93;-3.382;2.614;-32.2;-3.4;-0.2789;-178.5;-0.1981;0.2585;-178.5;0.9483;0.2585;111.3;-0.4506;0.4985;-129.4;0.6134;3.171;-126.2;0.03993;2.028;-4.395;1.465;-3.906;1.465;0.9766;3.418;-12.21;-15.14;0;-2.93;0;8.789;3.906;21;2.442;13.67;-0.4882;-0.9764;14.65;7.813;-8.789;-2.929;4.882;-6.835;0.4884;-2.441;-1.953;8.301;0.4882;-3.418;-0.6807;-0.09632;-0.5036;-0.5683;-0.09455;-0.756;0.6061;-0.3462;0.6108;0.5221;-0.4642;0.4779;0.1469;-0.541;0.6438;-0.1029;-0.6683;-0.1755;-0.06671;-0.7019;0.05982;0.3195;-0.5488;-0.02619;-0.7487;-0.2796;-0.5732;-0.6346;-0.1791;-0.7083
0.03;0;0.7255;-38.41;-13.84;-0.474;1.148;-3.25;2.959;-15.99;4.539;-3.428;1.146;15.42;12.96;4.359;2.341;14.85;-12.76;-37.31;-53.64;-0.6825;1.013;1.023;-1.303;34.39;19.9;-137.8;-6.231;-50.25;-124.6;-2.612;-12.77;-87.76;0.0418;2.616;-87.92;-3.382;2.621;-32.19;-3.389;-0.2922;-178.5;-0.2028;0.2591;-178.5;0.9433;0.2591;111.4;-0.4479;0.5042;-129.4;0.6173;3.17;-126.2;0.02907;2.026;-3.418;5.371;1.465;-1.465;2.93;12.21;-8.789;-21;-3.418;-0.4882;0.4883;2.442;4.394;15.62;9.766;12.7;2.93;-0.4882;9.766;0.9764;-5.371;11.72;17.58;-0.9764;6.348;7.324;0.9764;8.301;0.4882;-1.953;-0.6806;-0.09632;-0.5036;-0.5681;-0.09449;-0.7561;0.606;-0.3462;0.6107;0.5222;-0.4642;0.4779;0.1469;-0.5412;0.6437;-0.1029;-0.6683;-0.1755;-0.06671;-0.7019;0.05976;0.3194;-0.5489;-0.02631;-0.7487;-0.2796;-0.5731;-0.6345;-0.179;-0.7084
0.04;0;0.7187;-38.4;-13.85;-0.4788;1.147;-3.242;2.974;-16.01;4.535;-3.419;1.145;15.44;12.98;4.372;2.352;14.87;-12.78;-37.32;-53.62;-0.6805;1.015;1.022;-1.303;34.4;19.9;-137.8;-6.247;-50.26;-124.6;-2.629;-12.8;-87.74;0.03912;2.612;-87.9;-3.376;2.617;-32.18;-3.384;-0.2896;-178.5;-0.2119;0.2598;-178.5;0.9327;0.2598;111.4;-0.4532;0.5143;-129.4;0.6158;3.166;-126.2;0.02312;2.023;-10.25;4.883;19.04;-7.324;9.277;6.836;-4.883;-16.11;1.953;-2.441;-0.4883;-0.4884;5.86;8.789;-5.859;5.859;-7.324;-9.765;12.7;5.86;-6.836;12.21;12.69;4.394;-3.418;0.9764;-1.953;-1.465;-6.348;6.836;-0.6805;-0.09632;-0.5036;-0.5681;-0.0943;-0.7562;0.6059;-0.3463;0.6107;0.5221;-0.4642;0.4779;0.1469;-0.5412;0.6436;-0.103;-0.6683;-0.1757;-0.06665;-0.702;0.05969;0.3194;-0.5489;-0.02649;-0.7487;-0.2795;-0.5732;-0.6345;-0.179;-0.7084
0.05;0;0.7047;-38.4;-13.85;-0.4807;1.153;-3.233;2.995;-16.02;4.528;-3.412;1.14;15.47;12.99;4.388;2.369;14.89;-12.79;-37.34;-53.62;-0.6933;1.015;1.018;-1.307;34.41;19.91;-137.8;-6.255;-50.27;-124.6;-2.645;-12.81;-87.72;0.03432;2.615;-87.87;-3.374;2.619;-32.16;-3.372;-0.2898;-178.5;-0.2177;0.2554;-178.5;0.9228;0.2554;111.4;-0.4609;0.5261;-129.4;0.6199;3.165;-126.2;0.02595;2.017;-1.465;13.18;5.371;-6.348;-1.953;8.789;-4.883;-15.63;-7.813;-0.4882;-1.465;-9.277;-3.418;-4.394;-8.789;16.6;7.324;-3.906;7.813;9.277;0.4879;13.18;11.72;-0.9764;6.836;5.859;-3.906;-2.442;-2.93;1.953;-0.6804;-0.09632;-0.5036;-0.568;-0.09412;-0.7562;0.6058;-0.3465;0.6106;0.5221;-0.4642;0.4779;0.1469;-0.5412;0.6435;-0.103;-0.6683;-0.1758;-0.06659;-0.702;0.05963;0.3194;-0.5489;-0.02667;-0.7488;-0.2794;-0.5731;-0.6345;-0.179;-0.7084
0.06;0;0.69;-38.38;-13.86;-0.4782;1.15;-3.24;2.995;-16.05;4.525;-3.414;1.145;15.48;13.01;4.389;2.368;14.9;-12.81;-37.34;-53.62;-0.6841;1.026;1.026;-1.308;34.4;19.92;-137.8;-6.249;-50.27;-124.6;-2.647;-12.84;-87.71;0.04057;2.606;-87.87;-3.37;2.61;-32.14;-3.372;-0.2854;-178.5;-0.2224;0.256;-178.5;0.9227;0.256;111.4;-0.4706;0.5281;-129.4;0.6184;3.162;-126.2;0.02677;2.016;-9.766;15.63;13.67;-6.836;-8.301;13.18;-4.883;-8.789;-10.74;-3.906;-1.465;-1.465;-8.301;0;-8.789;-2.93;-7.324;0;2.93;15.63;0.4879;6.837;-0.9768;-2.929;-3.906;-0.4882;-1.465;-7.324;-8.789;5.371;-0.6804;-0.09632;-0.5036;-0.568;-0.09394;-0.7562;0.6059;-0.3465;0.6106;0.5221;-0.4642;0.4778;0.1468;-0.5412;0.6434;-0.103;-0.6682;-0.1759;-0.06659;-0.702;0.05963;0.3194;-0.5489;-0.0268;-0.7488;-0.2794;-0.5732;-0.6345;-0.1789;-0.7084
0.07;0;0.6587;-38.37;-13.85;-0.4744;1.142;-3.248;3.007;-16.05;4.531;-3.414;1.142;15.51;13.03;4.409;2.382;14.92;-12.82;-37.33;-53.63;-0.6943;1.032;1.031;-1.3;34.39;19.92;-137.8;-6.237;-50.27;-124.6;-2.661;-12.86;-87.72;0.04302;2.61;-87.87;-3.367;2.615;-32.14;-3.363;-0.2754;-178.5;-0.2285;0.252;-178.5;0.9131;0.2521;111.4;-0.4843;0.5273;-129.4;0.615;3.152;-126.2;0.02688;2.015;-1.465;23.44;5.371;-4.395;-6.348;-0.4883;-4.395;-4.883;-10.74;-3.906;-1.465;-6.348;0;6.836;-7.324;-4.883;-8.789;2.442;-3.418;5.371;5.859;0;-4.882;-0.4882;1.465;4.394;1.465;-5.859;-1.465;1.953;-0.6805;-0.09632;-0.5035;-0.5679;-0.09375;-0.7562;0.6059;-0.3465;0.6106;0.5221;-0.4641;0.4779;0.1469;-0.5412;0.6434;-0.1029;-0.6682;-0.1759;-0.06659;-0.702;0.05951;0.3194;-0.5488;-0.02686;-0.7488;-0.2793;-0.5732;-0.6346;-0.1788;-0.7084
0.08;0;0.6224;-38.35;-13.83;-0.4818;1.135;-3.253;3.017;-16.07;4.522;-3.41;1.145;15.53;13.04;4.421;2.384;14.94;-12.83;-37.34;-53.63;-0.6969;1.048;1.026;-1.298;34.4;19.91;-137.8;-6.217;-50.27;-124.6;-2.673;-12.87;-87.72;0.04302;2.61;-87.87;-3.364;2.615;-32.15;-3.359;-0.2773;-178.5;-0.2371;0.2588;-178.5;0.9082;0.2588;111.4;-0.4957;0.5322;-129.4;0.6134;3.148;-126.2;0.01763;2.018;0;11.72;15.63;-9.277;-4.395;-0.9766;-17.09;-11.72;3.418;-0.4882;0.4883;-6.836;0;8.301;-3.418;-10.25;-10.74;2.93;-2.441;5.86;0.9766;-3.417;-2.93;-3.418;-1.465;-3.418;3.906;-10.25;-5.371;13.67;-0.6806;-0.09638;-0.5034;-0.5679;-0.09363;-0.7562;0.6059;-0.3465;0.6106;0.5221;-0.4641;0.4779;0.1469;-0.5412;0.6434;-0.1028;-0.6682;-0.1759;-0.06659;-0.702;0.05945;0.3195;-0.5487;-0.02686;-0.7488;-0.2793;-0.5732;-0.6345;-0.1788;-0.7085
0.09;0;0.5811;-38.33;-13.82;-0.4866;1.137;-3.278;3.018;-16.09;4.536;-3.414;1.166;15.54;13.05;4.425;2.37;14.96;-12.84;-37.32;-53.64;-0.7007;1.054;1.028;-1.293;34.4;19.91;-137.8;-6.184;-50.27;-124.6;-2.675;-12.9;-87.73;0.04759;2.608;-87.88;-3.363;2.612;-32.16;-3.353;-0.2761;-178.5;-0.2569;0.2627;-178.5;0.9087;0.2627;111.4;-0.4974;0.5276;-129.4;0.6132;3.147;-126.1;0.01191;2.014;3.418;14.16;10.74;-5.859;-0.4883;4.883;-0.9764;2.441;-11.72;-5.859;1.953;-1.953;-4.883;4.883;-2.93;4.883;11.23;4.395;-7.813;-1.953;7.324;-3.417;-0.4874;-6.347;0.9764;0;4.883;-8.301;-6.348;12.21;-0.6808;-0.09644;-0.5032;-0.5679;-0.09345;-0.7562;0.6059;-0.3464;0.6106;0.5222;-0.4641;0.4779;0.147;-0.5412;0.6434;-0.1027;-0.6683;-0.176;-0.06659;-0.702;0.05945;0.3195;-0.5487;-0.0268;-0.7488;-0.2793;-0.5732;-0.6345;-0.1787;-0.7085
