MR32 CSV
Name;RULA Master Krüppel
Frequency;100
Date;24-04-2018 15:22:35
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;-35.69;-4.117;27.81;44.91;-14.73;7.111;-44.27;-20.06;20.65;1.886;-11.13;128.8;124.1;130.9;136.6;155.1;131.4;-115.1;-34.88;76.97;56.25;39.89;34.17;-51.07;0.7841;-121.8;1.442;-63.06;-105.5;-39.27;-55.95;-53.26;-22.41;66.26;-51.4;-21.64;65.56;-157.7;-63.99;-95.67;-166.6;-60.14;-129.4;-152.5;-52.18;-141.1;-89.7;-14.94;108.3;-41.91;-75.42;-88.34;-120.3;-42.36;-6.973;-32.72;-12.21;4.395;-2.442;-16.6;-22.46;107.4;-13.67;39.55;108.9;-28.32;60.55;-51.76;-62.5;101.6;-56.64;-4.883;-14.65;-14.65;-88.87;-44.92;65.43;-12.21;-72.26;16.11;19.04;-9.278;7.812;16.11;-14.16;-0.7206;0.08198;-0.4855;-0.2832;0.2174;-0.7889;0.1291;-0.1505;0.5128;-0.2681;-0.3621;0.3142;-0.5176;0.4052;0.002136;0.3263;0.271;0.0918;0.4376;0.2598;0.08918;0.3648;0.8101;0.1607;-0.1738;0.07538;-0.9145;-0.3431;-0.03662;-0.8757
0.01;0;-35.65;-3.984;28.03;44.89;-14.75;7.139;-44.24;-20.34;20.51;1.965;-11.2;128.9;124;130.9;136.7;155.4;131.2;-115.5;-34.6;76.94;56.38;39.85;34.21;-51.15;0.7611;-121.8;1.492;-63.06;-105.6;-39.38;-55.97;-53.3;-22.37;66.32;-51.37;-21.57;65.59;-157.7;-63.94;-95.62;-166.5;-60.13;-129.5;-152.4;-52.1;-141.3;-89.8;-14.82;108.3;-41.95;-75.4;-88.29;-120.3;-42.35;-6.968;-44.43;21.49;6.835;1.953;-5.859;-37.6;92.77;-14.65;54.2;119.6;-21.49;62.01;-57.62;-105.5;79.1;12.21;-35.64;-11.23;-15.14;-32.71;-42.48;49.81;-41.02;-47.36;23.93;9.766;-18.07;10.74;13.18;-12.21;-0.7209;0.08204;-0.4853;-0.2826;0.2169;-0.7885;0.1292;-0.1499;0.5129;-0.2686;-0.3618;0.3137;-0.5177;0.4055;0.001587;0.3264;0.2713;0.09174;0.4374;0.2606;0.08869;0.3642;0.8109;0.1605;-0.174;0.07557;-0.9145;-0.3432;-0.03662;-0.8757
0.02;0;-35.64;-3.835;28.28;44.9;-14.75;7.146;-44.18;-20.62;20.37;2.052;-11.26;129;124;131;136.8;155.8;131;-115.9;-34.24;76.97;56.45;39.84;34.23;-51.32;0.7611;-121.8;1.555;-63.07;-105.7;-39.52;-56;-53.35;-22.33;66.4;-51.33;-21.49;65.64;-157.6;-63.89;-95.52;-166.4;-60.13;-129.6;-152.2;-52.04;-141.4;-89.86;-14.71;108.4;-41.93;-75.39;-88.29;-120.3;-42.34;-6.969;-43.95;27.83;9.277;10.25;34.67;-17.58;65.92;18.07;34.67;51.27;-37.6;70.8;-59.08;-107.9;5.37;24.41;-24.41;-41.99;-29.3;7.323;-27.34;61.03;-55.18;-19.53;3.906;-27.34;-17.58;12.21;1.953;-16.11;-0.7213;0.0821;-0.4849;-0.2816;0.2164;-0.788;0.1291;-0.1494;0.513;-0.2697;-0.3615;0.3131;-0.5177;0.406;3.662e-4;0.3265;0.2718;0.09162;0.4374;0.2614;0.08808;0.3639;0.8115;0.1602;-0.174;0.07562;-0.9146;-0.3432;-0.03662;-0.8757
0.03;0;-35.65;-3.691;28.54;44.9;-14.74;7.135;-44.13;-20.91;20.22;2.138;-11.27;129.1;123.9;131;137;156.2;130.9;-116.4;-33.84;77.06;56.43;39.84;34.25;-51.48;0.8364;-121.8;1.624;-63.07;-105.9;-39.67;-56.01;-53.37;-22.37;66.5;-51.27;-21.5;65.71;-157.6;-63.8;-95.4;-166.2;-60.12;-129.9;-152.1;-52;-141.6;-89.9;-14.61;108.4;-41.93;-75.39;-88.28;-120.3;-42.34;-6.984;14.16;15.63;11.23;11.23;22.46;40.53;4.393;82.03;31.25;-0.4892;-61.52;41.5;-41.01;-103.5;-70.8;-21.48;-12.21;-3.907;-12.69;-6.347;-36.62;104;-38.57;-31.25;-0.9761;-36.62;-21.97;6.348;-27.83;-13.67;-0.7217;0.08198;-0.4844;-0.2807;0.2158;-0.7876;0.1284;-0.1488;0.513;-0.2712;-0.3614;0.3124;-0.5177;0.4067;-0.001282;0.3268;0.2728;0.09143;0.4373;0.2621;0.08759;0.3637;0.812;0.1598;-0.174;0.07563;-0.9146;-0.3432;-0.0365;-0.8757
0.04;0;-35.68;-3.599;28.79;44.89;-14.73;7.141;-44.06;-21.19;20.07;2.219;-11.28;129.2;123.9;131.1;137.1;156.6;130.7;-116.9;-33.5;77.18;56.42;39.82;34.25;-51.6;0.8772;-121.9;1.687;-63.09;-106;-39.82;-56.01;-53.4;-22.47;66.61;-51.21;-21.58;65.79;-157.5;-63.66;-95.29;-166;-60.14;-130.1;-151.9;-51.97;-141.8;-89.9;-14.51;108.4;-41.94;-75.39;-88.25;-120.3;-42.34;-6.98;72.26;18.07;9.277;3.418;-8.301;57.13;-37.6;77.64;34.18;-23.44;-70.31;26.37;-30.27;-119.6;-98.63;-7.325;-13.18;-10.74;5.859;-27.34;-38.09;120.1;-10.74;-48.34;-15.14;-25.88;-6.836;-0.4884;-21;0;-0.7221;0.08198;-0.4839;-0.2798;0.215;-0.7873;0.127;-0.1484;0.513;-0.2728;-0.361;0.312;-0.518;0.4075;-0.00293;0.3272;0.2736;0.09113;0.4372;0.2627;0.08716;0.3639;0.8124;0.1595;-0.174;0.07563;-0.9147;-0.3432;-0.0365;-0.8757
0.05;0;-35.68;-3.541;29.06;44.87;-14.75;7.157;-44;-21.45;19.88;2.242;-11.32;129.4;123.9;131.2;137.3;156.9;130.6;-117.4;-33.17;77.3;56.41;39.8;34.25;-51.61;0.8481;-121.9;1.746;-63.12;-106.2;-39.98;-55.97;-53.4;-22.62;66.71;-51.18;-21.72;65.87;-157.4;-63.52;-95.24;-165.8;-60.14;-130.3;-151.7;-51.93;-142;-89.83;-14.39;108.3;-41.98;-75.38;-88.2;-120.2;-42.35;-6.968;54.69;13.18;-2.93;19.53;-0.4877;29.3;-15.14;60.55;24.41;-25.39;-94.73;6.835;0;-103.5;-109.9;23.93;-21.97;-54.69;-15.14;-11.23;-60.55;103;11.23;-48.34;-15.14;-9.766;-5.372;-6.836;-13.18;-3.906;-0.7224;0.08216;-0.4834;-0.2789;0.2141;-0.7871;0.1253;-0.1483;0.513;-0.2742;-0.3607;0.3119;-0.5185;0.4083;-0.004029;0.3275;0.2742;0.09077;0.4374;0.2634;0.08643;0.3646;0.8126;0.1592;-0.1741;0.07569;-0.9147;-0.3432;-0.0365;-0.8758
0.06;0;-35.61;-3.453;29.32;44.86;-14.77;7.165;-43.95;-21.74;19.71;2.213;-11.33;129.5;123.8;131.3;137.4;157.4;130.4;-118.1;-32.83;77.38;56.38;39.81;34.24;-51.47;0.8168;-121.9;1.786;-63.16;-106.3;-40.12;-55.96;-53.37;-22.8;66.81;-51.18;-21.92;65.97;-157.3;-63.39;-95.31;-165.5;-60.16;-130.6;-151.5;-51.9;-142.2;-89.74;-14.23;108.3;-41.99;-75.37;-88.18;-120.2;-42.35;-6.961;17.09;0.4868;0.9761;21;28.32;-3.905;-10.74;24.42;8.299;-12.21;-80.57;26.37;-0.9764;-71.78;-59.08;-14.65;-15.63;-53.71;-9.765;6.837;-43.46;97.17;39.55;-60.06;-5.859;-1.465;-2.442;-9.766;-0.489;2.441;-0.7226;0.08252;-0.4831;-0.2781;0.2133;-0.7867;0.1236;-0.1482;0.5128;-0.2751;-0.3604;0.3123;-0.5191;0.4089;-0.004212;0.3281;0.2752;0.09034;0.4377;0.264;0.08564;0.3656;0.8129;0.1589;-0.1742;0.07575;-0.9147;-0.3432;-0.0365;-0.8758
0.07;0;-35.48;-3.419;29.58;44.85;-14.78;7.166;-43.96;-22.07;19.51;2.141;-11.38;129.5;123.7;131.2;137.5;157.7;130.2;-118.9;-32.56;77.41;56.4;39.8;34.25;-51.3;0.7027;-121.9;1.808;-63.19;-106.6;-40.24;-55.89;-53.34;-22.94;66.89;-51.21;-22.09;66.08;-157.3;-63.26;-95.42;-165.3;-60.16;-130.8;-151.3;-51.83;-142.5;-89.65;-14.04;108.2;-42.01;-75.36;-88.16;-120.2;-42.34;-6.963;14.16;23.93;14.65;16.11;15.14;35.65;-28.81;-60.55;-11.23;-19.53;-66.4;28.32;-47.85;-42.48;-67.38;-44.43;14.16;-11.23;-23.93;0.4896;-55.18;67.87;31.25;-25.88;-7.813;-17.09;-15.63;-8.301;-11.72;-4.394;-0.7226;0.08283;-0.4829;-0.2777;0.2121;-0.786;0.1224;-0.148;0.5127;-0.2755;-0.36;0.313;-0.52;0.4093;-0.003846;0.3285;0.2761;0.08997;0.4379;0.2647;0.08454;0.3667;0.8132;0.1588;-0.1743;0.07581;-0.9147;-0.3432;-0.03644;-0.8759
0.08;0;-35.36;-3.381;29.88;44.85;-14.79;7.149;-43.94;-22.39;19.29;2.067;-11.47;129.5;123.6;131.2;137.6;158.2;129.9;-119.5;-32.27;77.39;56.49;39.8;34.27;-51.16;0.5278;-121.8;1.847;-63.22;-106.9;-40.39;-55.79;-53.34;-23.02;66.99;-51.28;-22.19;66.2;-157.3;-63.13;-95.51;-165.1;-60.14;-130.9;-151.1;-51.73;-142.6;-89.58;-13.85;108.1;-42.02;-75.37;-88.16;-120.2;-42.34;-6.969;6.836;49.31;12.69;11.72;9.278;-12.69;-54.2;-134.3;38.57;1.953;-43.94;50.29;-81.05;-19.05;-27.83;-6.837;45.41;-19.53;-4.883;32.23;-50.78;34.67;33.69;55.18;-0.9761;0.4877;-2.93;3.418;-3.907;-5.859;-0.7228;0.0832;-0.4828;-0.2771;0.2106;-0.7856;0.1218;-0.1473;0.5126;-0.2756;-0.3595;0.3139;-0.521;0.4095;-0.003235;0.3286;0.2765;0.08961;0.4383;0.2653;0.08326;0.3676;0.8136;0.1587;-0.1743;0.07575;-0.9146;-0.3432;-0.03638;-0.8759
0.09;0;-35.27;-3.335;30.19;44.83;-14.8;7.136;-43.9;-22.68;19.05;2.018;-11.55;129.5;123.5;131.1;137.7;158.5;129.7;-119.9;-31.97;77.32;56.62;39.72;34.35;-51.16;0.3364;-121.8;1.893;-63.23;-107.1;-40.55;-55.68;-53.4;-22.93;67.08;-51.4;-22.13;66.31;-157.4;-62.98;-95.56;-165.1;-60.1;-131;-151;-51.62;-142.7;-89.56;-13.72;108;-42.1;-75.35;-88.1;-120.2;-42.35;-6.996;-34.67;41.5;13.67;0;11.72;-71.29;-22.95;-131.3;58.59;37.6;-35.64;51.76;-66.9;-20.99;67.87;31.25;30.27;-1.954;-4.883;55.66;-18.07;-12.2;-15.14;55.18;14.65;34.18;-23.93;6.836;27.83;-3.418;-0.723;0.08356;-0.4826;-0.2763;0.2092;-0.7852;0.1223;-0.1463;0.5127;-0.2756;-0.359;0.3147;-0.5222;0.4094;-0.002564;0.3285;0.2768;0.0893;0.4383;0.2658;0.08209;0.3682;0.814;0.159;-0.1744;0.07581;-0.9145;-0.3432;-0.0362;-0.8759
