MR32 CSV
Name;RULA Rumpf Ext
Frequency;100
Date;24-04-2018 15:17:10
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;-12.09;4.226;-2.209;5.75;-0.6716;0.8601;-11.74;-0.1907;-4.953;5.681;1.124;13.35;10.6;-12.75;-10.53;4.073;-1.214;-39.94;-35.36;-1.416;1.614;-0.4053;-2.331;36.11;20.72;-40.36;32.96;3.676;-38.35;20.87;0.1782;1.086;3.643;8.356;1.921;9.263;8.45;55.28;0.1062;12.04;-74.38;9.195;-4.948;-74.48;10.32;-4.965;-143;-2.528;-9.076;-33.39;9.064;1.146;-34.12;14.84;1.62;0.4881;-3.418;-23.44;-2.93;-14.16;-11.72;17.58;17.58;6.836;8.789;5.371;-4.883;9.766;3.418;-8.789;4.394;0;5.859;5.371;19.04;-2.929;-16.11;25.88;-6.836;0.9763;12.7;11.72;-3.418;0;-2.442;0.8672;-0.2619;0.3624;0.6604;-0.3089;0.618;0.2279;-0.6401;0.1489;0.08661;-0.6678;-0.1448;-0.1774;-0.47;0.05957;-0.6135;-0.2625;-0.6524;-0.6104;-0.2747;-0.5311;-0.2487;-0.5188;-0.6522;0.7411;-0.3985;0.4715;0.6475;-0.3798;0.5918
0.01;0;-12.07;4.207;-2.219;5.758;-0.6774;0.8573;-11.73;-0.1775;-4.954;5.685;1.121;13.34;10.59;-12.74;-10.52;4.081;-1.209;-39.94;-35.39;-1.432;1.619;-0.4087;-2.323;36.08;20.77;-40.35;32.93;3.656;-38.33;20.87;0.1811;1.095;3.639;8.366;1.932;9.264;8.46;55.32;0.1093;12.04;-74.38;9.195;-4.956;-74.48;10.31;-4.972;-142.9;-2.531;-9.084;-33.37;9.072;1.137;-34.1;14.85;1.617;0;-0.4882;-24.9;8.301;-9.277;-8.789;17.58;19.53;15.63;7.812;-5.371;-1.953;9.277;-4.883;-0.9764;0.9764;0;-2.442;19.53;25.88;-11.23;-20.02;16.11;-17.09;11.72;9.277;17.09;-3.418;0;-2.442;0.867;-0.262;0.3627;0.6604;-0.309;0.618;0.2278;-0.64;0.1489;0.08643;-0.6677;-0.145;-0.1775;-0.4699;0.05927;-0.6135;-0.2625;-0.6524;-0.6105;-0.2747;-0.5312;-0.2489;-0.5187;-0.6524;0.741;-0.3987;0.4714;0.6475;-0.38;0.5917
0.02;0;-12.03;4.187;-2.207;5.762;-0.6768;0.8612;-11.72;-0.1606;-4.973;5.698;1.113;13.34;10.58;-12.74;-10.52;4.069;-1.198;-39.96;-35.39;-1.426;1.623;-0.4218;-2.323;36.07;20.83;-40.33;32.89;3.653;-38.33;20.87;0.1931;1.119;3.637;8.367;1.958;9.274;8.461;55.35;0.1064;12.04;-74.38;9.195;-4.956;-74.48;10.3;-4.972;-142.9;-2.526;-9.077;-33.34;9.081;1.136;-34.08;14.87;1.614;-1.954;1.953;-25.88;18.07;-3.906;0.9768;6.836;10.74;9.277;8.301;-4.394;-6.348;2.442;0;-4.395;9.766;5.371;0.4881;1.465;11.23;-8.789;-10.74;16.11;-14.65;8.789;-4.394;8.301;-3.418;0;-2.442;0.8668;-0.2621;0.3629;0.6604;-0.3089;0.618;0.2277;-0.64;0.1487;0.08625;-0.6677;-0.1453;-0.1777;-0.4699;0.05902;-0.6135;-0.2625;-0.6524;-0.6105;-0.2746;-0.5313;-0.2492;-0.5186;-0.6526;0.741;-0.3989;0.4713;0.6475;-0.3802;0.5916
0.03;0;-12.01;4.175;-2.211;5.778;-0.6767;0.8696;-11.71;-0.1534;-4.984;5.702;1.109;13.32;10.58;-12.72;-10.51;4.073;-1.193;-39.97;-35.42;-1.431;1.613;-0.4151;-2.318;36.07;20.9;-40.32;32.86;3.645;-38.31;20.85;0.1984;1.149;3.632;8.377;1.989;9.272;8.472;55.39;0.1025;12.05;-74.39;9.187;-4.956;-74.49;10.29;-4.972;-142.8;-2.505;-9.072;-33.32;9.079;1.135;-34.06;14.88;1.611;5.371;0;-17.58;19.53;-2.441;-17.09;7.324;11.23;-1.465;1.465;-3.906;-9.766;1.465;-4.394;0.4882;4.394;5.371;0;6.348;15.63;-8.789;4.394;16.11;-5.859;7.325;-16.11;-0.4882;-3.418;0;-2.442;0.8667;-0.2622;0.3631;0.6603;-0.309;0.618;0.2275;-0.64;0.1486;0.08606;-0.6676;-0.1455;-0.1777;-0.4698;0.05878;-0.6134;-0.2626;-0.6525;-0.6105;-0.2746;-0.5314;-0.2496;-0.5185;-0.6528;0.7409;-0.3991;0.4713;0.6475;-0.3803;0.5914
0.04;0;-11.98;4.157;-2.219;5.8;-0.6734;0.8636;-11.7;-0.143;-4.987;5.708;1.105;13.31;10.58;-12.72;-10.52;4.076;-1.188;-40;-35.42;-1.435;1.612;-0.4083;-2.311;36.08;20.96;-40.32;32.82;3.629;-38.29;20.84;0.2036;1.19;3.619;8.381;2.031;9.265;8.475;55.42;0.1007;12.05;-74.38;9.174;-4.947;-74.48;10.28;-4.963;-142.7;-2.491;-9.061;-33.3;9.073;1.13;-34.04;14.9;1.604;1.954;-4.394;-33.69;10.25;0;-17.09;9.766;16.6;1.465;1.465;-11.72;-11.72;4.395;1.954;10.74;0.9764;8.3;1.953;10.74;24.41;6.836;8.79;13.18;-21.48;11.23;-3.906;-1.465;5.371;-5.371;7.812;0.8665;-0.2623;0.3634;0.6602;-0.309;0.618;0.2272;-0.6401;0.1484;0.08588;-0.6677;-0.1456;-0.1779;-0.4697;0.05853;-0.6134;-0.2626;-0.6525;-0.6105;-0.2745;-0.5316;-0.25;-0.5185;-0.653;0.7408;-0.3992;0.4713;0.6475;-0.3806;0.5913
0.05;0;-11.97;4.153;-2.218;5.822;-0.6761;0.8562;-11.68;-0.1343;-4.976;5.733;1.103;13.3;10.56;-12.7;-10.5;4.082;-1.195;-40.03;-35.43;-1.432;1.618;-0.4087;-2.305;36.1;21.01;-40.3;32.77;3.63;-38.27;20.81;0.2066;1.236;3.6;8.383;2.081;9.271;8.478;55.45;0.1039;12.06;-74.37;9.169;-4.932;-74.47;10.27;-4.948;-142.7;-2.476;-9.055;-33.29;9.066;1.122;-34.02;14.91;1.601;4.395;1.953;-35.64;5.859;-5.371;-11.72;11.23;9.278;-10.74;10.74;2.93;-13.67;9.766;1.954;0.9764;2.93;13.18;13.67;5.371;16.11;-5.371;9.766;6.836;-13.18;15.14;-2.442;-13.67;17.09;-1.953;6.348;0.8663;-0.2624;0.3637;0.66;-0.309;0.6181;0.2268;-0.6401;0.1482;0.08582;-0.6676;-0.1458;-0.1779;-0.4696;0.05829;-0.6135;-0.2627;-0.6525;-0.6106;-0.2744;-0.5317;-0.2503;-0.5184;-0.6532;0.7407;-0.3993;0.4713;0.6475;-0.3807;0.5912
0.06;0;-11.95;4.14;-2.214;5.837;-0.6464;0.8462;-11.66;-0.1453;-4.976;5.734;1.112;13.28;10.56;-12.68;-10.49;4.074;-1.194;-40.07;-35.43;-1.422;1.627;-0.4004;-2.3;36.13;21.07;-40.29;32.73;3.618;-38.26;20.79;0.2069;1.287;3.598;8.38;2.133;9.27;8.475;55.47;0.1023;12.07;-74.36;9.155;-4.924;-74.46;10.26;-4.94;-142.6;-2.467;-9.055;-33.28;9.061;1.133;-34.01;14.92;1.584;-4.883;0;-14.16;2.441;-1.465;-5.371;12.21;7.813;-4.394;3.418;5.86;-3.906;2.93;2.441;-6.836;-0.9764;13.18;8.789;6.348;18.07;5.859;0.4881;-3.906;-15.63;9.277;-0.4882;-2.442;6.836;-6.348;-3.418;0.8661;-0.2625;0.364;0.6599;-0.309;0.6182;0.2265;-0.6402;0.1479;0.08582;-0.6677;-0.1458;-0.178;-0.4696;0.05811;-0.6135;-0.2628;-0.6526;-0.6107;-0.2744;-0.5318;-0.2507;-0.5183;-0.6534;0.7407;-0.3992;0.4713;0.6474;-0.3809;0.5911
0.07;0;-11.91;4.127;-2.209;5.86;-0.6549;0.8452;-11.67;-0.1233;-4.985;5.751;1.114;13.27;10.56;-12.67;-10.5;4.069;-1.18;-40.11;-35.42;-1.413;1.628;-0.4075;-2.283;36.16;21.11;-40.27;32.69;3.62;-38.26;20.78;0.219;1.331;3.583;8.383;2.179;9.272;8.478;55.49;0.09671;12.06;-74.34;9.143;-4.916;-74.44;10.25;-4.932;-142.6;-2.458;-9.06;-33.26;9.046;1.123;-33.99;14.93;1.583;0.9761;-1.465;-26.37;3.907;3.418;-8.789;3.906;2.93;-5.371;1.465;12.21;-6.348;8.789;-0.4884;-13.67;3.418;11.23;9.277;6.348;11.23;0.9768;7.812;7.324;-10.74;12.7;-2.442;-6.836;5.859;-4.883;2.442;0.8659;-0.2626;0.3642;0.6598;-0.3089;0.6183;0.2262;-0.6403;0.1477;0.08576;-0.6677;-0.1459;-0.1781;-0.4695;0.05799;-0.6135;-0.2628;-0.6526;-0.6108;-0.2744;-0.5318;-0.251;-0.5182;-0.6536;0.7405;-0.3994;0.4714;0.6474;-0.3811;0.591
0.08;0;-11.88;4.114;-2.232;5.883;-0.6537;0.845;-11.67;-0.1271;-4.969;5.757;1.127;13.26;10.55;-12.67;-10.49;4.065;-1.174;-40.11;-35.44;-1.406;1.628;-0.4029;-2.285;36.16;21.14;-40.26;32.64;3.607;-38.22;20.76;0.227;1.362;3.569;8.376;2.21;9.263;8.471;55.52;0.09091;12.06;-74.33;9.131;-4.908;-74.42;10.25;-4.924;-142.5;-2.444;-9.055;-33.25;9.021;1.129;-33.97;14.93;1.589;3.418;-1.953;-16.6;11.23;8.301;-20.02;12.7;0;-2.93;5.859;12.7;-13.18;2.93;-2.929;-13.18;8.301;1.953;-1.953;7.325;2.441;-13.18;3.418;10.74;-11.72;7.325;0.9764;0.9764;8.301;0.9763;13.67;0.8657;-0.2627;0.3646;0.6597;-0.309;0.6183;0.2259;-0.6404;0.1476;0.08564;-0.6678;-0.146;-0.1783;-0.4694;0.0578;-0.6135;-0.2628;-0.6527;-0.6109;-0.2743;-0.5319;-0.2513;-0.5181;-0.6537;0.7404;-0.3994;0.4715;0.6474;-0.3811;0.591
0.09;0;-11.86;4.107;-2.234;5.91;-0.6549;0.8521;-11.68;-0.1248;-4.975;5.746;1.14;13.25;10.55;-12.65;-10.49;4.058;-1.168;-40.11;-35.43;-1.401;1.637;-0.393;-2.28;36.16;21.16;-40.25;32.59;3.605;-38.21;20.73;0.2322;1.376;3.564;8.37;2.223;9.249;8.465;55.53;0.08243;12.05;-74.3;9.116;-4.895;-74.4;10.25;-4.912;-142.5;-2.438;-9.053;-33.23;8.993;1.131;-33.96;14.93;1.589;0;-2.93;-24.9;11.23;0;-8.301;7.813;-5.371;3.418;4.883;11.72;-11.72;4.883;-2.929;-14.16;8.789;0;0.4881;13.18;1.465;0;3.418;15.62;-8.301;7.325;-0.4882;7.324;5.371;-3.418;2.93;0.8655;-0.2627;0.3649;0.6595;-0.309;0.6184;0.2258;-0.6404;0.1475;0.08539;-0.6678;-0.1461;-0.1784;-0.4694;0.05774;-0.6136;-0.2628;-0.6528;-0.611;-0.2743;-0.5319;-0.2515;-0.518;-0.6539;0.7402;-0.3994;0.4717;0.6473;-0.3812;0.5909
