MR32 CSV
Name;RULA Rumpf Flex
Frequency;100
Date;24-04-2018 15:17:57
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;4.443;-4.252;-1.837;19.81;-0.3608;-0.7021;12.45;-1.185;-0.1221;-1.309;0.1728;17.28;13.53;16.52;13.52;5.353;-0.2727;-76.85;-61.65;12.02;10.02;6.826;6.471;45.25;33.4;-41.9;-53.62;-1.116;-38.97;-49.24;0.9077;43.88;-11.52;-31.34;44.58;-12.64;-31.48;87.45;0.8076;-24.42;-104.5;-15.37;32.66;-104.4;-15.23;32.63;-156;7.763;24.5;-38.42;-36.8;1.711;-37.02;-17.02;1.539;-5.371;11.23;16.6;-6.348;4.395;7.813;-2.93;-3.418;-0.4882;-8.789;-5.371;3.418;0;2.441;7.813;0;9.765;-6.347;-2.442;12.7;-11.72;5.371;6.347;-1.954;1.465;12.21;2.442;0.4883;-0.488;-2.441;0.3532;-0.1038;0.813;0.1898;-0.07544;0.8803;-0.2235;-0.7889;0.1126;-0.3133;-0.8053;-0.145;-0.5469;-0.4549;-0.055;-0.4779;-0.6576;-0.5391;-0.5467;-0.6441;-0.4245;-0.1472;-0.7659;-0.4934;0.5076;-0.2467;0.7376;0.4715;-0.2645;0.7644
0.01;0;4.457;-4.235;-1.822;19.8;-0.3534;-0.7023;12.46;-1.184;-0.1315;-1.308;0.1953;17.28;13.52;16.53;13.52;5.339;-0.2531;-76.84;-61.69;12;10.01;6.843;6.493;45.37;33.5;-41.9;-53.66;-1.092;-38.99;-49.26;0.9292;43.88;-11.53;-31.35;44.57;-12.64;-31.49;87.33;0.7616;-24.44;-104.6;-15.36;32.69;-104.5;-15.19;32.66;-156;7.763;24.5;-38.41;-36.8;1.72;-37.01;-17.03;1.54;-15.14;5.371;30.27;0.4882;4.395;6.836;-4.395;-3.418;1.465;-2.93;-2.93;-2.93;2.929;4.395;-3.418;-0.4882;9.277;-13.18;0.9762;0.4882;-21.97;3.906;6.837;-4.882;0.9763;1.465;2.442;7.324;6.347;-3.906;0.353;-0.1036;0.813;0.1896;-0.07526;0.8803;-0.2235;-0.7889;0.1127;-0.3133;-0.8054;-0.1448;-0.5466;-0.4552;-0.05396;-0.4778;-0.6579;-0.5389;-0.5469;-0.644;-0.4245;-0.1475;-0.7658;-0.4936;0.5076;-0.2467;0.7375;0.4714;-0.2645;0.7644
0.02;0;4.458;-4.222;-1.806;19.8;-0.3552;-0.7003;12.49;-1.166;-0.1477;-1.304;0.2061;17.29;13.54;16.54;13.53;5.317;-0.2263;-76.83;-61.73;11.99;9.983;6.855;6.516;45.47;33.57;-41.89;-53.69;-1.064;-39;-49.29;0.9577;43.87;-11.54;-31.36;44.56;-12.65;-31.51;87.22;0.7308;-24.46;-104.6;-15.35;32.72;-104.5;-15.18;32.69;-155.9;7.775;24.5;-38.4;-36.81;1.715;-37;-17.04;1.538;-8.789;13.67;6.836;-2.93;2.442;13.18;1.953;8.301;-7.324;-0.9765;-1.953;-0.4883;11.72;19.04;8.3;9.277;21.49;-6.836;0;-2.441;-11.23;-5.86;7.812;1.954;-2.441;0.9768;4.395;5.371;-2.442;0;0.3527;-0.1035;0.8129;0.1895;-0.07502;0.8803;-0.2235;-0.789;0.1129;-0.3133;-0.8055;-0.1447;-0.5463;-0.4556;-0.05304;-0.4776;-0.6581;-0.5387;-0.547;-0.644;-0.4245;-0.1479;-0.7658;-0.4937;0.5075;-0.2468;0.7375;0.4713;-0.2645;0.7645
0.03;0;4.464;-4.191;-1.789;19.8;-0.3666;-0.6951;12.52;-1.155;-0.1627;-1.305;0.2078;17.31;13.55;16.56;13.55;5.307;-0.2235;-76.83;-61.74;11.97;9.967;6.865;6.537;45.57;33.63;-41.88;-53.73;-1.034;-39.01;-49.32;0.9737;43.86;-11.54;-31.37;44.56;-12.65;-31.52;87.12;0.6941;-24.49;-104.6;-15.34;32.74;-104.5;-15.17;32.71;-155.9;7.777;24.5;-38.39;-36.81;1.706;-37;-17.04;1.542;-13.67;7.813;23.44;-13.67;0;14.16;-3.906;4.395;-21.97;-0.4883;-3.418;3.906;15.14;20.02;17.09;5.371;14.65;-9.766;5.371;-6.836;-4.395;16.11;18.07;-3.907;-3.418;2.442;2.93;0;-4.394;6.348;0.3525;-0.1034;0.8128;0.1893;-0.07483;0.8803;-0.2235;-0.789;0.1129;-0.3132;-0.8056;-0.1445;-0.5461;-0.4558;-0.05219;-0.4776;-0.6582;-0.5385;-0.547;-0.6441;-0.4245;-0.1483;-0.7658;-0.4939;0.5075;-0.2468;0.7375;0.4713;-0.2645;0.7645
0.04;0;4.476;-4.165;-1.771;19.79;-0.3568;-0.6935;12.55;-1.156;-0.1721;-1.307;0.2084;17.3;13.56;16.56;13.56;5.295;-0.2166;-76.84;-61.72;11.97;9.942;6.893;6.557;45.66;33.66;-41.87;-53.76;-1.006;-39.03;-49.34;0.9934;43.86;-11.54;-31.39;44.56;-12.66;-31.54;87.04;0.6575;-24.5;-104.6;-15.35;32.75;-104.5;-15.18;32.72;-155.8;7.783;24.51;-38.39;-36.8;1.715;-37;-17.04;1.542;-8.789;11.72;10.74;-20.02;3.418;11.23;3.418;3.418;-0.4882;3.906;-0.4882;-11.23;17.09;15.62;15.63;10.25;14.65;-4.883;7.324;-1.953;-16.6;-9.766;1.465;-5.371;-5.371;-5.371;-2.93;-8.789;-12.7;0.9765;0.3523;-0.1033;0.8128;0.1892;-0.07465;0.8804;-0.2235;-0.789;0.113;-0.3131;-0.8057;-0.1442;-0.5459;-0.456;-0.05146;-0.4776;-0.6583;-0.5386;-0.547;-0.6441;-0.4244;-0.1486;-0.7657;-0.494;0.5075;-0.2468;0.7375;0.4713;-0.2645;0.7645
0.05;0;4.492;-4.137;-1.748;19.79;-0.3672;-0.6798;12.57;-1.147;-0.1934;-1.305;0.208;17.3;13.58;16.57;13.58;5.284;-0.212;-76.85;-61.68;11.97;9.923;6.911;6.579;45.73;33.7;-41.86;-53.8;-0.9827;-39.05;-49.37;1.012;43.86;-11.54;-31.41;44.56;-12.65;-31.56;86.97;0.6352;-24.51;-104.6;-15.36;32.74;-104.5;-15.19;32.71;-155.8;7.769;24.51;-38.38;-36.81;1.706;-37;-17.05;1.547;-8.789;13.67;37.11;-29.3;0;9.765;-1.953;-0.9764;-6.836;4.394;0.4882;3.906;13.18;8.789;13.67;8.301;7.813;-12.7;11.72;7.324;-11.72;-11.72;-0.9769;6.348;-6.836;-7.812;3.906;-12.21;-5.859;-5.371;0.352;-0.1032;0.8128;0.189;-0.07447;0.8804;-0.2236;-0.7891;0.1131;-0.313;-0.8058;-0.144;-0.5457;-0.4562;-0.05091;-0.4777;-0.6582;-0.5387;-0.547;-0.6442;-0.4243;-0.149;-0.7656;-0.4943;0.5075;-0.2469;0.7375;0.4713;-0.2645;0.7645
0.06;0;4.502;-4.117;-1.742;19.78;-0.3721;-0.6792;12.6;-1.137;-0.1977;-1.301;0.1974;17.32;13.59;16.59;13.59;5.275;-0.2049;-76.86;-61.65;11.97;9.903;6.923;6.604;45.8;33.74;-41.87;-53.83;-0.9437;-39.06;-49.39;1.034;43.87;-11.54;-31.41;44.56;-12.65;-31.56;86.91;0.6001;-24.51;-104.6;-15.38;32.75;-104.5;-15.21;32.72;-155.7;7.756;24.52;-38.38;-36.8;1.711;-37;-17.05;1.556;-9.766;14.65;20.02;-23.44;5.371;22.95;-4.883;-11.72;-4.394;-3.418;4.394;-1.465;5.371;16.11;13.18;0.9764;0.9764;-0.4884;0.9762;4.395;-5.371;-1.465;-2.441;13.67;-8.301;-9.277;6.836;-11.23;-7.812;-0.9765;0.3518;-0.103;0.8127;0.1889;-0.07428;0.8804;-0.2236;-0.7891;0.1131;-0.3129;-0.8058;-0.1439;-0.5455;-0.4563;-0.05036;-0.4778;-0.6581;-0.5387;-0.547;-0.6443;-0.4243;-0.1494;-0.7655;-0.4946;0.5075;-0.2469;0.7374;0.4713;-0.2644;0.7645
0.07;0;4.519;-4.09;-1.736;19.77;-0.3701;-0.682;12.62;-1.138;-0.1947;-1.298;0.1945;17.33;13.6;16.6;13.6;5.286;-0.2102;-76.86;-61.63;11.96;9.889;6.942;6.612;45.86;33.8;-41.86;-53.86;-0.9202;-39.06;-49.4;1.034;43.87;-11.55;-31.42;44.57;-12.66;-31.56;86.86;0.5739;-24.51;-104.6;-15.38;32.75;-104.5;-15.22;32.72;-155.6;7.738;24.53;-38.38;-36.79;1.714;-37;-17.05;1.556;0.9764;16.6;23.44;-15.14;4.883;21;-6.836;-12.7;-3.906;-2.93;5.371;5.859;1.465;3.906;3.906;3.418;-1.465;-13.67;2.442;4.883;4.395;1.465;-5.37;12.21;-7.812;-7.812;11.23;-14.16;-11.23;-4.883;0.3515;-0.1029;0.8127;0.1888;-0.07422;0.8804;-0.2237;-0.7891;0.1132;-0.3129;-0.8058;-0.1437;-0.5453;-0.4564;-0.04987;-0.4778;-0.6581;-0.5388;-0.547;-0.6443;-0.4243;-0.1497;-0.7655;-0.4949;0.5076;-0.2469;0.7374;0.4713;-0.2644;0.7645
0.08;0;4.527;-4.072;-1.73;19.76;-0.3752;-0.681;12.65;-1.13;-0.1912;-1.31;0.1818;17.34;13.62;16.61;13.62;5.269;-0.2094;-76.84;-61.63;11.97;9.872;6.97;6.629;45.91;33.87;-41.86;-53.89;-0.8954;-39.07;-49.42;1.045;43.85;-11.56;-31.42;44.55;-12.67;-31.57;86.8;0.5356;-24.51;-104.6;-15.38;32.75;-104.5;-15.22;32.73;-155.6;7.713;24.54;-38.39;-36.78;1.718;-37.01;-17.05;1.564;-5.371;14.65;20.51;-9.765;-2.442;6.836;-4.395;-6.836;-1.953;-10.25;0.9764;3.906;5.371;13.67;9.765;2.442;-5.372;-5.371;3.418;9.765;0.9767;-0.9766;-13.67;10.25;-6.348;-0.9768;0.4882;-4.883;-5.371;-12.7;0.3513;-0.1027;0.8127;0.1887;-0.0741;0.8805;-0.2236;-0.7891;0.1133;-0.3129;-0.8058;-0.1436;-0.5451;-0.4564;-0.04938;-0.4779;-0.6581;-0.5388;-0.547;-0.6443;-0.4243;-0.15;-0.7654;-0.4953;0.5077;-0.2469;0.7373;0.4713;-0.2644;0.7644
0.09;0;4.558;-4.051;-1.719;19.76;-0.3755;-0.6808;12.66;-1.132;-0.1843;-1.309;0.1795;17.35;13.62;16.62;13.62;5.277;-0.2249;-76.82;-61.62;11.96;9.863;6.983;6.639;45.93;33.95;-41.85;-53.92;-0.8882;-39.07;-49.42;1.043;43.83;-11.57;-31.41;44.53;-12.69;-31.56;86.76;0.5084;-24.5;-104.6;-15.38;32.76;-104.5;-15.22;32.73;-155.5;7.687;24.56;-38.41;-36.77;1.723;-37.02;-17.04;1.569;-10.25;13.67;29.3;-7.324;-4.395;13.18;-1.465;-7.324;-3.906;5.371;10.25;5.371;6.836;13.18;15.63;5.371;0.4882;-9.278;2.929;1.465;-6.836;5.371;-14.16;9.766;-0.4882;2.93;4.883;0;-0.9768;0.4885;0.3511;-0.1027;0.8127;0.1887;-0.0741;0.8805;-0.2235;-0.789;0.1135;-0.3128;-0.8058;-0.1435;-0.5449;-0.4565;-0.04895;-0.4779;-0.6581;-0.5387;-0.547;-0.6443;-0.4244;-0.1503;-0.7653;-0.4957;0.5078;-0.2468;0.7373;0.4714;-0.2643;0.7645
