MR32 CSV
Name;RULA Schulter Ext bds.
Frequency;100
Date;24-04-2018 15:13:21
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;5.395;-1.959;-1.848;15.07;0.6055;-1.49;-20.12;2.949;6.096;-0.1788;-5.963;13.11;15;-12.67;-14.4;-3.492;4.368;10.83;6.123;-1.474;-2.525;3.245;3.199;48.95;43.88;-124.3;0.8904;0.5108;-122.3;6.201;2.676;-133.4;-6.476;0.4577;-133.4;-6.654;0.4578;-92.16;-3.839;-0.7918;-116.2;-7.953;-2.488;-116;-13.91;-2.538;-163;-8.883;5.177;-129;-13.85;1.358;-127.3;1.2;0.764;0.4885;5.859;0;-2.441;2.929;-3.906;-10.74;14.16;10.25;-9.278;7.324;-2.442;-14.16;9.277;-12.21;-6.836;5.371;11.72;-8.301;8.79;-13.18;13.18;-19.04;-4.882;0.4884;3.418;-3.906;-3.418;-5.859;-3.906;-0.6879;-0.3066;-0.6436;-0.6026;-0.2041;-0.7434;0.6773;-0.1235;0.7221;0.6809;-0.1694;0.6798;0.3953;-0.3994;0.8176;-0.3787;-0.5177;-0.5662;-0.4231;-0.4671;-0.534;-0.07538;-0.6184;-0.5884;-0.6762;-0.2393;-0.6601;-0.6426;-0.1792;-0.6971
0.01;0;5.423;-1.935;-1.854;15.07;0.5966;-1.494;-20.12;2.939;6.104;-0.2687;-5.968;13.09;15;-12.66;-14.4;-3.455;4.369;10.84;6.119;-1.532;-2.563;3.202;3.186;48.92;43.88;-124.3;0.8569;0.5154;-122.3;6.196;2.657;-133.4;-6.47;0.4755;-133.4;-6.739;0.4757;-92.15;-3.855;-0.8794;-116.3;-7.951;-2.508;-116;-13.91;-2.559;-163;-8.862;5.177;-129;-13.86;1.352;-127.3;1.18;0.7661;-4.394;2.93;2.441;-7.813;-10.25;-3.906;-19.53;3.417;-4.395;-7.812;5.86;-12.21;-8.301;6.348;-9.278;-8.789;-1.464;1.465;-7.813;17.09;17.09;9.278;-15.14;-9.766;-0.4884;1.465;-5.371;-0.9766;-2.93;-2.441;-0.6877;-0.3066;-0.6438;-0.6026;-0.2039;-0.7434;0.6772;-0.1234;0.7222;0.6809;-0.17;0.6798;0.3953;-0.4;0.8173;-0.3787;-0.5176;-0.5662;-0.423;-0.4671;-0.534;-0.07551;-0.6185;-0.5883;-0.6762;-0.2393;-0.6601;-0.6424;-0.1791;-0.6972
0.02;0;5.44;-1.925;-1.858;15.06;0.5899;-1.491;-20.13;2.926;6.095;-0.3694;-5.965;13.07;14.99;-12.64;-14.39;-3.437;4.364;10.86;6.124;-1.578;-2.567;3.169;3.183;48.89;43.86;-124.3;0.8362;0.5104;-122.3;6.192;2.643;-133.4;-6.459;0.4789;-133.4;-6.829;0.4792;-92.14;-3.876;-0.9714;-116.3;-7.947;-2.517;-116;-13.91;-2.568;-163;-8.857;5.173;-129;-13.87;1.349;-127.3;1.171;0.7693;-9.277;5.371;6.836;-6.836;-15.63;3.906;-12.7;7.324;0;-6.348;1.954;-7.813;-12.69;0;0;-3.906;-6.836;9.766;-2.442;13.67;-10.74;-2.928;-14.65;-21.48;-3.418;2.929;-1.465;-4.394;-2.441;-4.394;-0.6876;-0.3066;-0.6439;-0.6026;-0.2039;-0.7434;0.6773;-0.1232;0.7221;0.6809;-0.1705;0.6799;0.3952;-0.4007;0.817;-0.3787;-0.5176;-0.5662;-0.4231;-0.4671;-0.534;-0.07545;-0.6185;-0.5882;-0.6761;-0.2393;-0.6602;-0.6424;-0.1791;-0.6972
0.03;0;5.467;-1.921;-1.849;15.06;0.5814;-1.496;-20.14;2.915;6.079;-0.485;-5.972;13.05;14.99;-12.63;-14.39;-3.431;4.361;10.84;6.151;-1.623;-2.574;3.152;3.184;48.89;43.82;-124.3;0.8112;0.5072;-122.3;6.195;2.634;-133.5;-6.439;0.4701;-133.5;-6.924;0.4706;-92.14;-3.897;-1.059;-116.2;-7.942;-2.527;-116;-13.91;-2.578;-163.1;-8.853;5.176;-129;-13.88;1.347;-127.3;1.152;0.7758;-7.812;3.906;19.04;0.4881;-7.324;0.9763;-6.836;-6.836;-1.465;-7.324;2.93;-7.813;-9.766;-5.86;5.372;-1.953;3.907;-1.953;-4.883;4.883;7.813;-7.814;5.372;1.464;-2.441;0;1.465;-4.394;0;-7.813;-0.6874;-0.3066;-0.644;-0.6026;-0.2039;-0.7433;0.6774;-0.1231;0.722;0.6809;-0.1711;0.68;0.3952;-0.4013;0.8168;-0.3787;-0.5175;-0.5662;-0.4231;-0.467;-0.534;-0.07526;-0.6185;-0.588;-0.6761;-0.2393;-0.6602;-0.6422;-0.1791;-0.6974
0.04;0;5.475;-1.922;-1.838;15.06;0.5971;-1.501;-20.15;2.912;6.066;-0.611;-5.965;13.03;14.99;-12.6;-14.4;-3.43;4.377;10.84;6.171;-1.664;-2.578;3.123;3.179;48.88;43.79;-124.3;0.8025;0.509;-122.4;6.195;2.636;-133.5;-6.418;0.4686;-133.5;-7.029;0.4692;-92.15;-3.934;-1.158;-116.2;-7.942;-2.543;-116;-13.9;-2.594;-163.1;-8.851;5.17;-129;-13.89;1.351;-127.3;1.142;0.7636;-5.371;-1.465;0.9768;-7.813;-2.929;-2.93;4.883;8.788;-4.395;0.4882;4.394;-0.488;-1.953;0.9764;5.859;-5.859;2.441;-14.16;-3.418;-10.74;-8.789;-14.16;15.14;12.7;-2.93;-9.277;-2.441;1.953;1.953;-6.348;-0.6874;-0.3067;-0.6441;-0.6026;-0.2041;-0.7433;0.6775;-0.1229;0.722;0.6809;-0.1717;0.6801;0.3952;-0.4021;0.8166;-0.3787;-0.5174;-0.5663;-0.4231;-0.4669;-0.534;-0.07514;-0.6185;-0.5879;-0.676;-0.2393;-0.6602;-0.6422;-0.1791;-0.6974
0.05;0;5.486;-1.931;-1.813;15.05;0.5838;-1.501;-20.16;2.917;6.035;-0.73;-5.973;13.02;15;-12.59;-14.39;-3.43;4.403;10.82;6.191;-1.699;-2.59;3.09;3.18;48.9;43.77;-124.3;0.787;0.5074;-122.4;6.192;2.64;-133.5;-6.404;0.4676;-133.5;-7.134;0.4682;-92.17;-3.979;-1.261;-116.3;-7.938;-2.567;-116;-13.91;-2.619;-163.1;-8.857;5.159;-129;-13.9;1.345;-127.3;1.123;0.77;-5.859;5.371;21.97;-9.278;7.324;-0.4882;10.25;5.371;-2.442;4.883;-0.9761;3.906;12.21;0;10.74;-5.859;-0.4874;2.93;2.93;-2.44;7.325;-14.16;14.16;15.62;-1.953;-3.418;-5.371;-3.906;0;-6.348;-0.6873;-0.3066;-0.6442;-0.6025;-0.2042;-0.7433;0.6776;-0.1228;0.7219;0.6808;-0.1724;0.6802;0.3951;-0.4027;0.8164;-0.3786;-0.5173;-0.5663;-0.4231;-0.4669;-0.5341;-0.07502;-0.6184;-0.5878;-0.6759;-0.2393;-0.6603;-0.6421;-0.1791;-0.6975
0.06;0;5.491;-1.937;-1.807;15.05;0.5798;-1.485;-20.17;2.91;6.012;-0.8286;-5.987;13;14.99;-12.57;-14.38;-3.434;4.401;10.8;6.201;-1.686;-2.582;3.046;3.183;48.93;43.78;-124.4;0.7809;0.4988;-122.4;6.19;2.637;-133.5;-6.388;0.4549;-133.5;-7.217;0.4557;-92.19;-4.047;-1.365;-116.3;-7.932;-2.569;-116;-13.91;-2.621;-163.1;-8.873;5.159;-129;-13.91;1.343;-127.3;1.118;0.7722;-0.4885;8.789;15.63;-7.813;13.67;-2.93;9.277;-11.72;11.23;10.74;-8.3;-4.394;19.04;4.394;2.442;-6.836;-6.836;17.58;-13.67;-4.883;-1.953;-17.58;1.953;13.18;-1.465;0;-3.418;-2.442;-2.441;-11.72;-0.6872;-0.3067;-0.6442;-0.6025;-0.2043;-0.7432;0.6777;-0.1228;0.7218;0.6809;-0.1729;0.6802;0.3948;-0.4035;0.8162;-0.3786;-0.5173;-0.5662;-0.423;-0.4669;-0.5341;-0.07489;-0.6184;-0.5879;-0.6759;-0.2392;-0.6604;-0.642;-0.1791;-0.6975
0.07;0;5.49;-1.937;-1.818;15.05;0.5844;-1.492;-20.19;2.895;6.014;-0.9223;-5.987;12.99;15;-12.56;-14.39;-3.437;4.396;10.78;6.201;-1.684;-2.568;3.013;3.192;48.97;43.79;-124.4;0.7859;0.4918;-122.4;6.195;2.631;-133.5;-6.379;0.4428;-133.5;-7.301;0.4437;-92.22;-4.107;-1.459;-116.3;-7.938;-2.57;-116;-13.92;-2.623;-163.1;-8.892;5.151;-129;-13.93;1.355;-127.3;1.099;0.7786;0.4885;8.789;9.765;-6.348;9.766;3.418;12.21;-14.16;2.93;10.25;-9.766;-6.348;14.16;0;5.859;-7.324;-17.09;-2.93;-6.348;3.907;-2.93;-9.765;-1.464;-4.882;-0.9764;1.953;-11.72;3.906;2.93;-1.465;-0.6872;-0.3067;-0.6441;-0.6025;-0.2043;-0.7432;0.6778;-0.1228;0.7217;0.6808;-0.1735;0.6803;0.3947;-0.4041;0.8161;-0.3786;-0.5173;-0.5662;-0.4229;-0.467;-0.534;-0.07483;-0.6183;-0.588;-0.6758;-0.2393;-0.6605;-0.6419;-0.1791;-0.6976
0.08;0;5.514;-1.934;-1.833;15.05;0.5826;-1.49;-20.21;2.9;6.013;-0.9951;-5.997;13.02;15.01;-12.58;-14.41;-3.456;4.395;10.78;6.198;-1.68;-2.564;3;3.203;49;43.8;-124.4;0.7815;0.4874;-122.4;6.213;2.626;-133.4;-6.385;0.4182;-133.5;-7.38;0.4191;-92.24;-4.158;-1.539;-116.3;-7.935;-2.574;-116;-13.93;-2.627;-163.1;-8.906;5.14;-129;-13.94;1.346;-127.3;1.091;0.7708;1.465;10.74;9.765;-1.953;5.371;6.836;0.9764;-19.04;3.418;6.348;-12.21;-9.277;13.18;2.929;7.325;-2.442;-2.93;-7.324;-3.906;1.952;1.953;-0.9771;-2.929;-13.18;0;-2.929;-7.324;0.4883;1.953;-7.813;-0.6872;-0.3068;-0.6441;-0.6026;-0.2043;-0.7431;0.6779;-0.123;0.7216;0.6808;-0.174;0.6804;0.3945;-0.4046;0.816;-0.3786;-0.5172;-0.5662;-0.4227;-0.467;-0.534;-0.07483;-0.6181;-0.5881;-0.6758;-0.2392;-0.6605;-0.6418;-0.1791;-0.6976
0.09;0;5.526;-1.926;-1.86;15.05;0.5843;-1.502;-20.24;2.881;6.038;-1.055;-6.002;13.04;15.03;-12.6;-14.43;-3.459;4.392;10.79;6.176;-1.68;-2.568;2.983;3.203;49.01;43.81;-124.4;0.7838;0.471;-122.4;6.228;2.605;-133.4;-6.394;0.398;-133.5;-7.449;0.3989;-92.25;-4.197;-1.616;-116.3;-7.935;-2.589;-116;-13.93;-2.642;-163.1;-8.917;5.133;-129;-13.95;1.351;-127.3;1.082;0.774;-13.67;2.441;5.371;12.7;0.4881;-3.906;3.906;-21;9.766;7.324;-9.766;-0.9768;6.347;1.953;15.62;6.348;8.789;-4.395;-0.9764;4.883;-4.394;0;5.86;-13.67;-4.394;-3.906;0;2.442;0.4885;-5.371;-0.6872;-0.3068;-0.6441;-0.6028;-0.2041;-0.743;0.678;-0.1231;0.7215;0.6808;-0.1744;0.6805;0.3944;-0.4052;0.8159;-0.3785;-0.5172;-0.5662;-0.4226;-0.4671;-0.534;-0.07477;-0.6181;-0.5882;-0.6756;-0.2393;-0.6606;-0.6418;-0.1791;-0.6977
