MR32 CSV
Name;RULA Schulter Flex 120 °
Frequency;100
Date;24-04-2018 15:16:35
"Time,s";"Noraxon MyoMotion.Sync,An";"Halswirbel Flexion,Grad";"Halswirbel Lateral - RT,Grad";"Halswirbel Axial - RT,Grad";"Lendenwirbelsäule Flexion,Grad";"Lendenwirbelsäule Lateral - RT,Grad";"Lendenwirbelsäule Axial - RT,Grad";"Thorax Flexion,Grad";"Thorax Lateral - RT,Grad";"Thorax Axial - RT,Grad";"Ellbogen Flexion LT,Grad";"Ellbogen Flexion RT,Grad";"Schulter absolute Flexion LT,Grad";"Schulter absolute Flexion RT,Grad";"Schulter Flexion LT,Grad";"Schulter Flexion RT,Grad";"Schulter Abduktion LT,Grad";"Schulter Abduktion RT,Grad";"Schulter Rotation - out LT,Grad";"Schulter Rotation - out RT,Grad";"Handgelenk Dorsalextension LT,Grad";"Handgelenk Dorsalextension RT,Grad";"Handgelenk Radialabduktion LT,Grad";"Handgelenk Radialabduktion RT,Grad";"Wrist Supination LT,Grad";"Wrist Supination RT,Grad";"Kopf course,Grad";"Kopf pitch,Grad";"Kopf roll,Grad";"Oberer Thorax course,Grad";"Oberer Thorax pitch,Grad";"Oberer Thorax roll,Grad";"Oberarm course LT,Grad";"Oberarm pitch LT,Grad";"Oberarm roll LT,Grad";"Unterarm course LT,Grad";"Unterarm pitch LT,Grad";"Unterarm roll LT,Grad";"Hand course LT,Grad";"Hand pitch LT,Grad";"Hand roll LT,Grad";"Oberarm course RT,Grad";"Oberarm pitch RT,Grad";"Oberarm roll RT,Grad";"Unterarm course RT,Grad";"Unterarm pitch RT,Grad";"Unterarm roll RT,Grad";"Hand course RT,Grad";"Hand pitch RT,Grad";"Hand roll RT,Grad";"Unterer Thorax course,Grad";"Unterer Thorax pitch,Grad";"Unterer Thorax roll,Grad";"Becken course,Grad";"Becken pitch,Grad";"Becken roll,Grad";"Kopf Beschl. Sensor X,mG";"Kopf Beschl. Sensor Y,mG";"Kopf Beschl. Sensor Z,mG";"Oberer Thorax Beschl. Sensor X,mG";"Oberer Thorax Beschl. Sensor Y,mG";"Oberer Thorax Beschl. Sensor Z,mG";"Oberarm Beschl. Sensor X LT,mG";"Oberarm Beschl. Sensor Y LT,mG";"Oberarm Beschl. Sensor Z LT,mG";"Unterarm Beschl. Sensor X LT,mG";"Unterarm Beschl. Sensor Y LT,mG";"Unterarm Beschl. Sensor Z LT,mG";"Hand Beschl. Sensor X LT,mG";"Hand Beschl. Sensor Y LT,mG";"Hand Beschl. Sensor Z LT,mG";"Oberarm Beschl. Sensor X RT,mG";"Oberarm Beschl. Sensor Y RT,mG";"Oberarm Beschl. Sensor Z RT,mG";"Unterarm Beschl. Sensor X RT,mG";"Unterarm Beschl. Sensor Y RT,mG";"Unterarm Beschl. Sensor Z RT,mG";"Hand Beschl. Sensor X RT,mG";"Hand Beschl. Sensor Y RT,mG";"Hand Beschl. Sensor Z RT,mG";"Unterer Thorax Beschl. Sensor X,mG";"Unterer Thorax Beschl. Sensor Y,mG";"Unterer Thorax Beschl. Sensor Z,mG";"Becken Beschl. Sensor X,mG";"Becken Beschl. Sensor Y,mG";"Becken Beschl. Sensor Z,mG";"Kopf Rot X,";"Kopf Rot Y,";"Kopf Rot Z,";"Oberer Thorax Rot X,";"Oberer Thorax Rot Y,";"Oberer Thorax Rot Z,";"LT Oberarm Rot X,";"LT Oberarm Rot Y,";"LT Oberarm Rot Z,";"LT Unterarm Rot X,";"LT Unterarm Rot Y,";"LT Unterarm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Oberarm Rot X,";"RT Oberarm Rot Y,";"RT Oberarm Rot Z,";"RT Unterarm Rot X,";"RT Unterarm Rot Y,";"RT Unterarm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Unterer Thorax Rot X,";"Unterer Thorax Rot Y,";"Unterer Thorax Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,"
0.00;0;-3.89;0.04792;-7.311;-7.611;0.8962;1.123;-2.367;-1.586;-5.358;0.244;-11.35;112.8;106.1;113.1;106.1;160.1;188.7;-110.6;-96.01;-0.91;4.206;2.881;7.426;36.82;8.546;-47.95;12.79;-1.431;-40.45;9.018;-0.3053;24.74;-23.01;124.8;24.96;-23.15;124.7;-32.02;-58.11;167.8;-131.4;-3.847;-115.2;-121.2;1.011;-115.4;-50.64;-58.81;-169.4;-35.08;6.503;1.895;-36.39;-1.086;1.015;4.883;8.789;-1.953;2.442;13.67;-4.394;1.953;-8.789;3.906;1.465;3.418;7.325;0;-4.394;14.16;-12.21;-4.883;-7.812;-1.465;0;0;-8.789;13.18;28.81;1.953;-3.418;-3.418;3.906;1.465;-2.441;0.7885;-0.2139;0.5232;0.597;-0.2684;0.6889;0.1206;0.2399;-0.3406;-0.09992;0.2802;-0.3529;-0.06971;0.5581;-0.04096;-0.04206;0.292;-0.3922;0.1198;0.2304;-0.4018;0.415;0.2635;-0.6225;0.7378;-0.3783;0.4896;0.5662;-0.3234;0.6879
0.01;0;-3.891;0.04973;-7.335;-7.595;0.8951;1.137;-2.372;-1.587;-5.354;0.2415;-11.35;112.8;106.1;113.1;106.1;160.1;188.8;-110.5;-96.03;-0.8827;4.201;2.891;7.43;36.81;8.525;-47.96;12.79;-1.425;-40.43;9.01;-0.2992;24.76;-23.01;124.8;24.98;-23.15;124.7;-32.01;-58.09;167.8;-131.4;-3.844;-115.2;-121.2;1.016;-115.4;-50.62;-58.82;-169.5;-35.07;6.489;1.901;-36.4;-1.084;1.022;7.324;13.67;-1.465;4.395;12.7;-4.883;-2.442;-16.11;6.347;10.74;9.278;6.347;4.395;-11.72;15.63;4.883;10.25;-12.21;3.906;7.813;-9.765;-25.39;15.14;16.11;-0.9765;-10.74;-19.04;0.9767;-1.953;3.418;0.7885;-0.2138;0.5232;0.5969;-0.2684;0.6889;0.1206;0.2398;-0.3407;-0.09998;0.2802;-0.353;-0.06958;0.5583;-0.04102;-0.04212;0.2919;-0.3922;0.1197;0.2303;-0.4017;0.4151;0.2634;-0.6225;0.7377;-0.3783;0.4897;0.5663;-0.3233;0.6879
0.02;0;-3.885;0.05554;-7.352;-7.578;0.8868;1.145;-2.377;-1.589;-5.343;0.2533;-11.35;112.8;106.1;113.1;106.1;160.1;188.8;-110.5;-96.05;-0.8374;4.232;2.9;7.432;36.79;8.528;-47.96;12.77;-1.42;-40.42;9.004;-0.298;24.78;-23.01;124.8;25;-23.15;124.7;-32.05;-58.06;167.9;-131.4;-3.847;-115.1;-121.2;1.011;-115.4;-50.61;-58.79;-169.5;-35.06;6.478;1.901;-36.4;-1.077;1.031;-3.907;3.906;-7.324;-4.395;5.859;-3.906;1.465;7.812;-2.93;0.4885;0;13.18;-8.789;-9.766;4.394;-1.465;0.4885;-17.58;-8.301;0;4.883;-13.67;16.11;10.25;0.9765;-2.441;0;2.93;3.418;-3.418;0.7884;-0.2137;0.5233;0.5968;-0.2684;0.6889;0.1207;0.2398;-0.3408;-0.1001;0.2802;-0.3532;-0.06946;0.5586;-0.04102;-0.04212;0.2919;-0.3922;0.1197;0.2303;-0.4017;0.4151;0.2636;-0.6224;0.7377;-0.3783;0.4897;0.5663;-0.3233;0.6879
0.03;0;-3.885;0.08422;-7.357;-7.554;0.883;1.158;-2.391;-1.614;-5.348;0.248;-11.34;112.8;106.1;113.1;106.1;160.1;188.8;-110.5;-96.05;-0.8187;4.245;2.919;7.442;36.77;8.559;-47.95;12.77;-1.406;-40.41;8.998;-0.3122;24.79;-23.01;124.8;25.01;-23.15;124.7;-32.07;-58.05;167.9;-131.4;-3.855;-115.1;-121.2;1;-115.4;-50.65;-58.78;-169.5;-35.05;6.458;1.911;-36.4;-1.073;1.044;-1.465;0.4884;-2.93;-4.395;-7.813;-1.465;-3.418;6.835;-3.418;-1.465;-3.906;1.465;-18.56;-12.69;4.883;-3.906;2.442;-2.93;-1.465;5.86;-8.789;0.9769;-1.465;7.813;-0.4885;2.93;-3.418;0;-1.953;1.465;0.7884;-0.2136;0.5233;0.5967;-0.2686;0.6889;0.1207;0.2397;-0.3409;-0.1002;0.2802;-0.3532;-0.0694;0.5587;-0.04114;-0.04206;0.2918;-0.3922;0.1197;0.2302;-0.4017;0.415;0.2638;-0.6224;0.7375;-0.3783;0.4898;0.5664;-0.3232;0.6878
0.04;0;-3.888;0.1066;-7.364;-7.54;0.8777;1.17;-2.394;-1.62;-5.354;0.2489;-11.34;112.8;106.1;113.1;106.1;160.1;188.8;-110.6;-96.04;-0.8105;4.256;2.933;7.457;36.79;8.598;-47.96;12.76;-1.393;-40.41;8.992;-0.3214;24.8;-23.01;124.8;25.02;-23.15;124.7;-32.04;-58.05;167.9;-131.4;-3.861;-115.1;-121.2;0.992;-115.4;-50.71;-58.77;-169.4;-35.04;6.448;1.908;-36.4;-1.068;1.047;-0.9768;-1.465;-1.953;-9.766;-14.16;-3.418;1.465;14.16;-3.906;0.9762;-12.7;-5.371;-20.51;-16.6;1.464;-1.465;0.9771;6.348;-3.418;3.906;17.09;16.11;-16.11;-5.859;0;7.324;2.441;0;0;6.836;0.7884;-0.2135;0.5233;0.5966;-0.2686;0.6889;0.1206;0.2396;-0.3409;-0.1002;0.2802;-0.3533;-0.06928;0.5587;-0.04126;-0.04205;0.2917;-0.3923;0.1197;0.2302;-0.4017;0.4148;0.2639;-0.6224;0.7375;-0.3783;0.4898;0.5664;-0.3232;0.6878
0.05;0;-3.878;0.1181;-7.371;-7.515;0.8847;1.187;-2.413;-1.63;-5.37;0.2461;-11.35;112.8;106.1;113.1;106.1;160.1;188.9;-110.6;-96.05;-0.8073;4.248;2.941;7.474;36.8;8.626;-47.96;12.75;-1.382;-40.41;8.992;-0.3214;24.81;-23.02;124.7;25.03;-23.16;124.7;-32.01;-58.05;167.9;-131.4;-3.865;-115.1;-121.2;0.9911;-115.4;-50.76;-58.77;-169.4;-35.02;6.428;1.917;-36.4;-1.064;1.049;0;3.906;-3.906;-5.371;-21.97;1.953;4.394;2.441;-5.371;3.418;-13.67;0;-20.51;-22.95;-3.906;-2.442;2.93;1.953;-4.883;4.883;1.465;15.14;-13.67;-14.65;5.371;8.789;-1.953;-5.859;-4.395;3.906;0.7884;-0.2134;0.5233;0.5966;-0.2686;0.6889;0.1206;0.2396;-0.341;-0.1002;0.2802;-0.3534;-0.06916;0.5587;-0.04139;-0.04206;0.2916;-0.3922;0.1196;0.2302;-0.4017;0.4146;0.264;-0.6223;0.7374;-0.3783;0.4899;0.5665;-0.3232;0.6878
0.06;0;-3.862;0.1049;-7.371;-7.497;0.8783;1.205;-2.438;-1.613;-5.389;0.2492;-11.34;112.8;106.1;113;106.1;160.1;188.9;-110.6;-96.07;-0.7963;4.242;2.952;7.472;36.82;8.629;-47.97;12.74;-1.382;-40.41;8.996;-0.3074;24.81;-23.03;124.7;25.03;-23.17;124.6;-31.98;-58.05;167.9;-131.4;-3.866;-115.1;-121.2;0.9847;-115.4;-50.78;-58.78;-169.4;-35.01;6.407;1.915;-36.41;-1.066;1.054;3.907;5.371;-6.348;7.813;-10.25;-6.836;-1.465;-10.74;-2.442;0.4885;-4.883;5.371;-11.23;-14.16;-0.977;-4.883;7.812;0.9769;0;4.395;7.813;5.371;-13.18;-14.16;-1.953;6.347;-1.465;1.953;2.93;0.4883;0.7884;-0.2133;0.5234;0.5967;-0.2685;0.6889;0.1204;0.2395;-0.341;-0.1;0.2802;-0.3535;-0.06903;0.5587;-0.04151;-0.04205;0.2916;-0.3922;0.1195;0.2302;-0.4016;0.4146;0.264;-0.6222;0.7372;-0.3784;0.49;0.5665;-0.3231;0.6878
0.07;0;-3.862;0.1026;-7.373;-7.471;0.8695;1.228;-2.449;-1.604;-5.418;0.2442;-11.34;112.8;106.1;113;106.1;160.2;188.9;-110.6;-96.07;-0.7993;4.235;2.955;7.479;36.84;8.613;-47.98;12.74;-1.381;-40.42;8.99;-0.3046;24.81;-23.03;124.7;25.03;-23.17;124.7;-31.95;-58.04;167.8;-131.4;-3.861;-115.1;-121.2;0.9894;-115.4;-50.77;-58.79;-169.4;-34.99;6.389;1.91;-36.41;-1.057;1.059;-1.953;-2.93;-0.9765;0.9763;-8.301;-2.93;-8.789;-11.23;0.4882;-11.72;-14.16;-3.418;0.4884;-4.884;-19.04;-1.465;7.325;19.53;3.906;8.789;-3.906;0.9769;1.465;-3.906;0.9765;9.277;-3.418;6.348;0;-1.953;0.7884;-0.2133;0.5235;0.5967;-0.2685;0.6889;0.1204;0.2395;-0.341;-0.09992;0.2802;-0.3535;-0.06891;0.5586;-0.04157;-0.04212;0.2916;-0.3922;0.1195;0.2302;-0.4015;0.4146;0.2639;-0.6221;0.737;-0.3785;0.4901;0.5666;-0.3231;0.6877
0.08;0;-3.87;0.1027;-7.359;-7.455;0.8618;1.257;-2.456;-1.596;-5.459;0.2535;-11.33;112.8;106.1;113;106.1;160.2;188.8;-110.6;-96.04;-0.8016;4.245;2.953;7.49;36.86;8.591;-47.98;12.74;-1.381;-40.43;8.981;-0.3078;24.82;-23.03;124.7;25.04;-23.18;124.6;-31.9;-58.05;167.8;-131.5;-3.846;-115.1;-121.2;0.9954;-115.4;-50.76;-58.8;-169.4;-34.96;6.373;1.902;-36.41;-1.057;1.059;2.442;1.465;-0.4885;9.277;5.371;7.813;-4.394;3.418;-9.277;-1.465;-7.324;-6.836;0.4884;1.952;-21.97;1.465;0.4885;-5.371;0.9765;5.86;4.395;-8.789;6.348;5.371;-1.953;-2.93;1.465;2.441;-2.93;-6.836;0.7884;-0.2133;0.5235;0.5967;-0.2684;0.689;0.1204;0.2395;-0.341;-0.0998;0.28;-0.3537;-0.06879;0.5585;-0.04169;-0.0423;0.2916;-0.3922;0.1194;0.2302;-0.4014;0.4147;0.2639;-0.6219;0.7369;-0.3787;0.4901;0.5666;-0.3231;0.6877
0.09;0;-3.879;0.08058;-7.351;-7.442;0.8725;1.287;-2.457;-1.601;-5.503;0.255;-11.31;112.8;106.1;113;106.1;160.2;188.8;-110.6;-96.01;-0.8078;4.224;2.947;7.478;36.86;8.585;-47.98;12.73;-1.399;-40.44;8.97;-0.3066;24.82;-23.02;124.7;25.05;-23.17;124.6;-31.88;-58.06;167.8;-131.5;-3.834;-115.1;-121.2;0.9978;-115.4;-50.79;-58.83;-169.4;-34.93;6.359;1.912;-36.41;-1.057;1.059;0;-5.859;-9.277;-0.9763;-0.4879;-2.93;3.418;0.9769;-9.765;-2.929;-2.93;-5.371;-4.395;-3.907;-11.23;7.324;0.4885;-8.789;1.465;2.441;-5.859;7.324;7.813;-2.93;1.953;0.4883;-2.93;7.324;1.953;1.465;0.7883;-0.2133;0.5235;0.5967;-0.2683;0.6891;0.1205;0.2394;-0.341;-0.09968;0.28;-0.3537;-0.06879;0.5584;-0.04169;-0.04242;0.2916;-0.3922;0.1194;0.2302;-0.4013;0.4146;0.2638;-0.6219;0.7367;-0.3788;0.4901;0.5666;-0.3231;0.6877
